,N,V,1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ,"2. Политическая партия ""Либерально-демократическая партия России""","3. Политическая партия ""ПАТРИОТЫ РОССИИ""","4. Политическая партия ""Коммунистическая партия Российской Федерации""","5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО""","6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""","7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""
Омская область - Центральная,756613,362826,60952,57063,4529,113251,21574,101819,3638
Оренбургская область - Новотроицкая,826136,408398,62137,68520,3899,105850,7115,159255,1622
Оренбургская область - Оренбургская,821440,423244,79462,74018,4913,114904,12796,134994,2157
Орловская область,660996,419569,47935,52306,3802,136701,8837,166642,3346
Пензенская область,1124870,716046,63168,73885,5126,144705,15392,410858,2912
Псковская область,581005,302767,50411,42772,2760,77192,15660,112581,1391
Ростовская область - Волгодонская,660028,406571,47120,38770,2617,74332,4482,237703,1547
Ростовская область - Каменская,643844,380896,53370,45313,2885,76358,5196,196358,1416
Ростовская область - Новочеркасская,667250,389362,46140,33568,2897,77347,7335,220399,1676
Ростовская область - Ростовская,659099,379198,55896,40683,3857,87237,21779,166780,2966
Ростовская область - Таганрогская,679443,380170,57625,41035,3804,93890,17342,164230,2244
Рязанская область,967022,501273,76819,76684,5948,120094,15691,202638,3399
Самарская область,2550263,1322682,191495,212115,15649,312144,53496,531254,6529
Саратовская область,1985524,1311464,134104,96246,7761,183582,22629,863047,4095
Сахалинская область,395894,191138,22860,31055,2303,45513,6652,81419,1336
Свердловская область - Каменск-Уральская,681544,328392,76961,54397,2691,52720,9179,124206,8238
Свердловская область - Нижнетагильская,703118,357675,89253,63723,3267,60723,12097,121883,6729
Свердловская область - Первоуральская,708426,342247,84155,53063,3498,60933,17263,114088,9247
Свердловская область - Серовская,675138,350024,87760,60692,3034,55375,7301,129015,6847
Свердловская область - Центральная,737976,369204,104482,55064,3881,71839,30792,97106,6040
Смоленская область,818502,399433,75537,59917,4648,98420,11652,147111,2148
Тамбовская область,881360,590478,36118,42526,3093,98729,8594,399705,1713
Тверская область,1140195,600860,120568,71189,7455,141482,22925,234104,3137
Томская область,782817,387406,52917,70453,5236,88373,18379,148082,3966
Тульская область,1260975,905560,77506,84440,7442,138155,32034,562073,3910
Тюменская область,1045051,785348,58728,111759,6473,93273,16010,494437,4668
Ульяновская область,1053971,627013,99313,80077,6270,146821,14475,277048,3009
Челябинская область - Златоустовская,721270,392637,74007,49673,4076,66784,15765,179797,2535
Челябинская область - Калининская,687340,388321,71874,51153,4779,68166,24205,165064,3080
Челябинская область - Кыштымская,656010,400342,65847,44196,3121,49171,8463,227837,1707
Челябинская область - Магнитогорская,685497,430569,60936,48036,3849,55710,8337,251792,1909
Ярославская область,1056431,580827,133500,91341,10898,141525,28240,171326,3997
Город Москва - Восточная,677927,424167,47149,37767,5134,77031,33241,220883,2962
Город Москва - Донская,753439,482332,49945,42000,5991,82958,34873,262573,3992
Город Москва - Кунцевская,755347,438831,48552,34843,5806,85911,35675,224491,3553
Город Москва - Люблинская,748871,445823,48856,46525,6442,82378,26599,231074,3949
Город Москва - Медведковская,652929,360252,54871,45914,6295,80682,39483,129605,3402
Город Москва - Тушинская,749874,412815,66741,52256,6898,96607,50563,135540,4210
Город Москва - Царицынская,718913,463263,49593,43852,5775,82039,23991,254284,3729
Город Москва - Центральная,696501,424471,53239,34547,4814,90139,42309,196102,3321
Город Москва - Черемушкинская,720286,418903,57676,39043,6052,85513,46390,180717,3512
Город Москва - Шереметьевская,710438,457085,58067,39370,5674,89283,43529,217887,3275
Город Санкт-Петербург - Восточная,704655,388723,86749,40941,4783,61818,47679,143290,3463
Город Санкт-Петербург - Западная,743659,400372,88767,43672,5457,64377,41771,152533,3795
Город Санкт-Петербург - Северная,740133,400814,98549,41326,4582,60150,45988,146138,4081
Город Санкт-Петербург - Центральная,770025,407965,109685,40383,5147,63372,60285,124838,4255
