Scottish Parliament elections 2016 - Results- Constituencies,,,GENERAL,,,,,,VOTES CAST,,,,,,,,VOTE SHARE %,,,,,,,,,
ONS Code,Constituency,Region,Electorate,Total ballots at the count,Total valid votes cast,Rejected ballots,Ballot Box Turnout (%),Rejected ballots (%),CON,LAB,LIB,SNP,IND,TUSC,GRN,Others,CON,LAB,LIB,SNP,IND,TUSC,GRN,Others,Win,Second
S16000095,Cunninghame South,West Scotland," 50,214 "," 25,798 "," 25,695 ", 103 ,51.4,0.4," 3,940 "," 7,723 ", 616 ," 13,416 ", -   , -   , -   , -   ,15.3,30.1,2.4,52.2,0.0,0.0,0.0,0.0,SNP,Lab
S16000096,Dumbarton,West Scotland," 55,104 "," 33,698 "," 33,598 ", 100 ,61.2,0.3," 4,891 "," 13,522 "," 1,131 "," 13,413 ", 641 , -   , -   , -   ,14.6,40.3,3.4,39.9,1.9,0.0,0.0,0.0,Lab,SNP
S16000097,Dumfriesshire,South Scotand," 60,698 "," 36,361 "," 36,260 ", 101 ,59.9,0.3," 13,536 "," 9,151 "," 1,267 "," 12,306 ", -   , -   , -   , -   ,37.3,25.2,3.5,33.9,0.0,0.0,0.0,0.0,Con,SNP
S16000098,Dundee City East,North East Scotland," 55,266 "," 28,545 "," 28,437 ", 108 ,51.7,0.4," 4,969 "," 5,611 ", 911 ," 16,509 ", -   , 437 , -   , -   ,17.5,19.7,3.2,58.1,0.0,1.5,0.0,0.0,SNP,Lab
S16000099,Dundee City West,North East Scotland," 53,838 "," 27,903 "," 27,788 ", 115 ,51.8,0.4," 2,826 "," 7,242 "," 1,008 "," 16,070 ", -   , 642 , -   , -   ,10.2,26.1,3.6,57.8,0.0,2.3,0.0,0.0,SNP,Lab
S16000100,Dunfermline,Mid Scotland and Fife," 57,740 "," 33,008 "," 32,909 ", 99 ,57.2,0.3," 5,797 "," 9,699 "," 3,156 "," 14,257 ", -   , -   , -   , -   ,17.6,29.5,9.6,43.3,0.0,0.0,0.0,0.0,SNP,Lab
S16000101,East Kilbride,Central," 61,149 "," 34,768 "," 34,629 ", 139 ,56.9,0.4," 5,857 "," 8,392 "," 1,009 "," 19,371 ", -   , -   , -   , -   ,16.9,24.2,2.9,55.9,0.0,0.0,0.0,0.0,SNP,Lab
S16000102,East Lothian,South Scotand," 60,848 "," 38,031 "," 37,913 ", 118 ,62.5,0.3," 9,045 "," 14,329 "," 1,337 "," 13,202 ", -   , -   , -   , -   ,23.9,37.8,3.5,34.8,0.0,0.0,0.0,0.0,Lab,SNP
S16000103,Eastwood,West Scotland," 53,085 "," 36,372 "," 36,256 ", 116 ,68.5,0.3," 12,932 "," 11,081 ", 921 ," 11,322 ", -   , -   , -   , -   ,35.7,30.6,2.5,31.2,0.0,0.0,0.0,0.0,Con,SNP
S16000104,Edinburgh Central,Lothian," 59,581 "," 34,278 "," 34,169 ", 107 ,57.5,0.3," 10,399 "," 7,546 "," 1,672 "," 9,789 ", -   , -   ," 4,644 ", 119 ,30.4,22.1,4.9,28.7,0.0,0.0,13.6,0.4,Con,SNP
S16000105,Edinburgh Eastern,Lothian," 62,817 "," 35,624 "," 35,397 ", 227 ,56.7,0.6," 5,700 "," 11,673 "," 1,264 "," 16,760 ", -   , -   , -   , -   ,16.1,33.0,3.6,47.4,0.0,0.0,0.0,0.0,SNP,Lab
S16000106,Edinburgh Northern & Leith,Lothian," 67,273 "," 37,362 "," 37,102 ", 260 ,55.5,0.7," 6,081 "," 10,576 "," 1,779 "," 17,322 "," 1,344 ", -   , -   , -   ,16.4,28.5,4.8,46.7,3.6,0.0,0.0,0.0,SNP,Lab
S16000107,Edinburgh Pentlands,Lothian," 55,241 "," 33,490 "," 33,353 ", 137 ,60.6,0.4," 10,725 "," 7,811 "," 1,636 "," 13,181 ", -   , -   , -   , -   ,32.2,23.4,4.9,39.5,0.0,0.0,0.0,0.0,SNP,Con
S16000108,Edinburgh Southern,Lothian," 59,587 "," 38,492 "," 38,259 ", 233 ,64.6,0.6," 9,972 "," 13,597 "," 2,216 "," 12,474 ", -   , -   , -   , -   ,26.1,35.5,5.8,32.6,0.0,0.0,0.0,0.0,Lab,SNP
S16000109,Edinburgh Western,Lothian," 61,666 "," 39,890 "," 39,766 ", 124 ,64.7,0.3," 5,686 "," 3,750 "," 16,645 "," 13,685 ", -   , -   , -   , -   ,14.3,9.4,41.9,34.4,0.0,0.0,0.0,0.0,LD,SNP
S16000111,"Ettrick, Roxburgh & Berwickshire",South Scotand," 54,517 "," 33,183 "," 33,095 ", 88 ,60.9,0.3," 18,257 "," 1,766 "," 2,551 "," 10,521 ", -   , -   , -   , -   ,55.2,5.3,7.7,31.8,0.0,0.0,0.0,0.0,Con,SNP
S16000112,Falkirk East,Central," 60,271 "," 32,629 "," 32,524 ", 105 ,54.1,0.3," 6,342 "," 8,408 "," 1,054 "," 16,720 ", -   , -   , -   , -   ,19.5,25.9,3.2,51.4,0.0,0.0,0.0,0.0,SNP,Lab
