Scottish Parliament elections 2016 - ,,GENERAL,,,,,,,REJECTED BALLOT PAPERS,,,,,,POSTAL VOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADDITIONAL DATA,,,,,,,,,,,,,,,,,
Administration - Constituencies,,,,,,,,,,,,,,,A. Issue of postal ballot papers,,,,,B. Receipt of postal ballot packs,,,,,,,,,,C. Checks on personal identifiers,,,,,,,,,D. Waivers,E. Summary of postal ballot packs,,,F. Proxies,,,,,,,,,,,,,,,,,,,,,
ONS Code,Constituency,Electorate ,Total valid votes cast,Valid votes turnout (%),Total ballots at the count,Ballot box turnout (incl. votes rejected at count) (%),Total number of ballots returned by close of poll,Total vote turnout (incl. postal votes rejected and votes  rejected at count) (%),Number of ballot papers rejected or not counted at the count for a) want of official mark,Number of ballot papers rejected at the count for b) voting more than once,Number of ballot papers rejected at the count for c) Writing or mark by which the voter could be identified,Number of ballot papers rejected at the count for d) unmarked or wholly void for uncertainty,Total number of ballot papers rejected at the count ,Rejected ballots (%), Number of original postal ballot papers issued  , Number of postal ballot packs replaced due to the original pack being lost or not received ," Number of postal ballot packs replaced due to the original being spoiled
 ", Number of postal ballot packs replaced due to the elector requesting the pack be sent to a different address (i.e. ballot packs issued but then cancelled and reissued due to elector changing their registered address) , Total number of postal ballot papers issued (i.e Total A1 to A4) , Number of complete postal ballot packs received by the close of the poll (excluding those returned in B3 to B6)(i.e. PVS and matching ballot paper returned) ," Number of postal voting statements received by the close of poll WITHOUT the corresponding ballot paper
 "," Number of  ballot papers received by the close of poll WITHOUT the corresponding postal voting statements
 "," Number of postal ballot papers cancelled on request of elector by 5pm on the eleventh working day before the poll
 ", Number of postal ballot packs cancelled as spoiled by close of poll   , Number of postal ballot packs cancelled as lost by close of poll ," Number of postal ballot packs returned as undeliverable by the seventh calendar day after the poll
 "," Number of postal ballot packs received between the close of poll and the seventh calendar day after the poll
 "," Total number of postal ballot packs not returned (including empty envelopes and any ballot packs received more than seven calendar days after the poll) 
 ", Total postal ballot packs (i.e total of B1-B8) (should equal A5) ," Number of postal voting statements checked against the personal identifier record
 ", Number of postal voting statements where required personal identifiers were verified as valid , Number of postal voting statements rejected because there was no signature , Number of postal voting statements rejected because there was no date of birth , Number of postal voting statements rejected because there was no signature and no date of birth , Number of postal voting statements rejected due to a mismatched signature , Number of postal voting statements rejected due to a mismatched date of birth , Number of postal voting statements rejected due to a mismatch of both identifiers ," Total checks on personal identifiers (i.e Total of C2-C4, should equal C1) ", Number of signature waivers granted (as per the personal identifiers record) ," Number of ballot packs rejected due to missing ballot paper or PVS (should equal B2a plus B2b)
 ", Number of postal voting statements rejected due to absence or mismatch of personal identifiers (should equal C3a to C4c)  , Number of postal ballot papers sent to the count(should equal C2) , Number of standard proxies (excluding postal proxies) granted , Number of standard proxies with postal votes granted , Number of emergency proxies granted , Total number of proxies (i.e total of F1 to F3) ,What was the total number of polling places used?,Number of replacement postal packs requested for spoiled postal packs by 5pm on polling day,Number of replacement postal packs issued for spoiled postal packs by 5pm on polling day,Number of replacement postal packs requested for spoiled postal packs after 5pm on polling day,Number of replacement postal packs requested due to lost postal packs by 10pm on polling day,Number of replacement postal packs issued due to lost postal packs by 10pm on polling day,Number of replacement postal packs issued due to lost postal packs between 5pm and 10pm on polling day,How many postal ballot packs were returned on polling day before 10pm?,How many postal ballot packs were returned on the day after polling day before 10pm?,Total number of new electors added to the register on or between publication of the register date (01.12.15) and 13.03.16,Total number of new electors added to the register between 14.03.16 and 18.04.16,How many applications to register were received after the registration deadline? ,Total number of applications received between 01.12.15-13.03.16,Total number of duplicate applications received between 01.12.15-13.03.16,Total number of  applications received between 14.03.16-18.04.16,Total number of duplicate applications received between 14.03.16-18.04.16,How many people tried to vote on polling day and were found not to be registered?,Total number of local government electors aged 16 or 17 on Election day
S16000094, Cunninghame North ," 55,645 "," 31,965 ",57.4," 32,121 ",57.7," 32,203 ",57.9, -   , 9 , -   , 147 , 156 ,0.5," 10,027 ", 18 , 7 , -   ," 10,050 "," 8,057 ", 138 , 25 , 66 , 16 , 7 , 44 , 31 ," 1,666 "," 10,050 "," 8,057 "," 7,957 ", 10 , 5 , 25 , 34 , 20 , 6 ," 8,057 ", 160 , 163 , 100 ," 7,819 ", 126 , 10 , 4 , 140 ,28,16,16,0,6,6,1,239,27,2265,1595,390,2779,319,1669,193,4,1209
S16000095, Cunninghame South ," 50,214 "," 25,695 ",51.2," 25,798 ",51.4," 25,894 ",51.6, -   , 9 , -   , 94 , 103 ,0.4," 7,236 ", 8 , 3 , -   ," 7,247 "," 5,770 ", 92 , 11 , 45 , 8 , 3 , 24 , 20 ," 1,274 "," 7,247 "," 5,770 "," 5,663 ", 7 , -   , 32 , 39 , 22 , 7 ," 5,770 ", 73 , 152 , 107 ," 5,571 ", 73 , 8 , 2 , 83 ,24,3,3,0,8,8,0,157,20,1599,1337,298,1961,246,1510,148,4,1052
S16000096, Dumbarton ," 55,104 "," 33,598 ",61.0," 33,698 ",61.2," 33,639 ",61.0, 8 , 15 , 1 , 76 , 100 ,0.3," 8,426 ", 7 , 4 , 2 ," 8,439 "," 6,812 ", 1 , 91 , 8 , 4 , 7 , 50 , 12 ," 1,447 "," 8,432 "," 6,812 "," 6,771 ", 7 , 1 , 1 , 21 , 11 , -   ," 6,812 ", 48 , 92 , 32 ," 6,771 ", 202 , 3 , 5 , 210 ,37,4,4,0,7,7,0,314,7,1628,831,325,1578,229,1531,60,10,1085
S16000097, Dumfriesshire ," 60,698 "," 36,260 ",59.7," 36,361 ",59.9," 36,378 ",59.9, -   , 16 , -   , 85 , 101 ,0.3," 13,902 ", 23 , 18 , -   ," 13,943 "," 11,231 ", -   , 28 , -   , 18 , 23 , 23 , 18 ," 2,602 "," 13,943 "," 11,231 "," 11,113 ", 22 , 17 , 2 , 26 , 45 , 6 ," 11,231 ", 137 , 33 , 118 ," 11,113 ", 164 , 16 , 11 , 191 ,66,18,18,0,20,20,3,36,13,876,1177,260,1478,175,1093,196,0,1016
S16000098, Dundee City East ," 55,266 "," 28,437 ",51.5," 28,545 ",51.7," 28,548 ",51.7, -   , 13 , -   , 95 , 108 ,0.4," 11,016 ", 22 , 7 , -   ," 11,045 "," 8,166 ", 83 , 27 , 160 , 22 , 7 , 57 , 15 ," 2,508 "," 11,045 "," 8,166 "," 8,055 ", 19 , 2 , 41 , 16 , 28 , 5 ," 8,166 ", 143 , 110 , 111 ," 8,055 ", 152 , -   , 5 , 157 ,38,7,7,0,22,22,3,434,9,986,1804,74,1110,121,1908,99,7,975
S16000099, Dundee City West ," 53,838 "," 27,788 ",51.6," 27,903 ",51.8," 27,947 ",51.9, -   , 58 , -   , 57 , 115 ,0.4," 10,124 ", 19 , 6 , -   ," 10,149 "," 7,669 ", 77 , 29 , 174 , 19 , 6 , 29 , 16 ," 2,130 "," 10,149 "," 7,669 "," 7,510 ", 26 , 5 , 55 , 17 , 48 , 8 ," 7,669 ", 150 , 106 , 159 ," 7,510 ", 114 , 1 , 4 , 119 ,38,6,6,0,19,19,5,482,8,1243,2338,81,1323,76,2465,124,3,845
S16000100, Dunfermline ," 57,740 "," 32,909 ",57.0," 33,008 ",57.2," 33,146 ",57.4, -   , 15 , 1 , 83 , 99 ,0.3," 11,226 ", 1 , 1 , -   ," 11,228 "," 8,517 ", 76 , 24 , -   , 1 , 1 , 69 , 30 ," 2,510 "," 11,228 "," 8,517 "," 8,356 ", 14 , 1 , 38 , 57 , 42 , 9 ," 8,517 ", 56 , 100 , 161 ," 8,280 ", 108 , 5 , 1 , 114 ,38,1,1,0,1,1,0,585,13,,,,,,,,,
S16000101, East Kilbride ," 61,149 "," 34,629 ",56.6," 34,768 ",56.9," 34,713 ",56.8, -   , 16 , -   , 123 , 139 ,0.4," 8,829 ", 23 , 8 , 3 ," 8,863 "," 6,428 ", 57 , 20 , 34 , 8 , 23 , 15 , 13 ," 2,265 "," 8,863 "," 6,428 "," 6,344 ", 13 , 1 , 25 , 6 , 37 , 2 ," 6,428 ", 112 , 77 , 84 ," 6,344 ", 111 , -   , 5 , 116 ,32,8,8,0,23,23,11,546,8,1828,787,301,1498,40,1271,15,15,1131
S16000102, East Lothian ," 60,848 "," 37,913 ",62.3," 38,031 ",62.5," 38,254 ",62.9, -   , 15 , 1 , 102 , 118 ,0.3," 11,786 ", 19 , 5 , -   ," 11,810 "," 9,592 ", 75 , 16 , 83 , 5 , 19 , 53 , 25 ," 1,942 "," 11,810 "," 9,662 "," 9,321 ", 14 , 5 , 61 , 113 , 120 , 28 ," 9,662 ", 254 , 91 , 341 ," 9,251 ", 173 , 12 , 6 , 191 ,33,5,5,0,19,19,5,713,11,1058,1687,,,,,,,1512
S16000103, Eastwood ," 53,085 "," 36,256 ",68.3," 36,372 ",68.5," 36,545 ",68.8, -   , 7 , -   , 109 , 116 ,0.3," 11,764 ", 56 , 13 , -   ," 11,833 "," 9,670 ", 64 , 129 , -   , 13 , 56 , 73 , 24 ," 1,804 "," 11,833 "," 9,477 "," 9,381 ", 3 , 6 , -   , 53 , 26 , 8 ," 9,477 ", 106 , 193 , 96 ," 9,381 ", 93 , 4 , 4 , 101 ,17,13,13,0,56,56,0,,12,306,582,96,2393,360,1096,193,,1361
S16000104, Edinburgh Central ," 59,581 "," 34,169 ",57.3," 34,278 ",57.5," 34,479 ",57.9, -   , 14 , -   , 93 , 107 ,0.3," 11,241 ", 39 , 2 , -   ," 11,282 "," 8,741 ", 10 , 41 , -   , 2 , 41 , 85 , 17 ," 2,345 "," 11,282 "," 8,741 "," 8,472 ", 6 , 3 , 40 , 59 , 147 , 14 ," 8,741 ", 133 , 51 , 269 ," 8,431 ", 242 , 25 , 10 , 277 ,26,2,2,0,41,41,,954,,4442,2752,,,,,,,638
S16000105, Edinburgh Eastern ," 62,817 "," 35,397 ",56.3," 35,624 ",56.7," 35,926 ",57.2, -   , 18 , -   , 209 , 227 ,0.6," 12,434 ", 14 , 3 , -   ," 12,451 "," 9,608 ", 26 , 120 , -   , 5 , 14 , 85 , 23 ," 2,570 "," 12,451 "," 9,608 "," 9,199 ", 21 , 4 , 69 , 102 , 172 , 41 ," 9,608 ", 376 , 146 , 409 ," 9,079 ", 142 , 10 , 6 , 158 ,25,5,5,0,14,14,,904,,2588,1357,,,,,,,1229
S16000106, Edinburgh Northern & Leith ," 67,273 "," 37,102 ",55.2," 37,362 ",55.5," 37,549 ",55.8, -   , 33 , -   , 227 , 260 ,0.7," 12,197 ", 33 , 4 , -   ," 12,234 "," 9,124 ", 25 , 77 , -   , 4 , 33 , 86 , 21 ," 2,864 "," 12,234 "," 9,124 "," 8,754 ", 22 , 3 , 48 , 75 , 194 , 28 ," 9,124 ", 297 , 102 , 370 ," 8,677 ", 182 , 13 , 9 , 204 ,25,4,4,0,33,33,,1077,,3787,2231,,,,,,,847
S16000107, Edinburgh Pentlands ," 55,241 "," 33,353 ",60.4," 33,490 ",60.6," 33,861 ",61.3, -   , 15 , -   , 122 , 137 ,0.4," 12,464 ", 7 , 3 , -   ," 12,474 "," 10,201 ", 18 , 86 , -   , 3 , 7 , 85 , 18 ," 2,056 "," 12,474 "," 10,124 "," 9,779 ", 17 , 3 , 49 , 91 , 163 , 22 ," 10,124 ", 226 , 104 , 345 ," 9,693 ", 134 , 14 , 8 , 156 ,23,3,3,0,7,7,,874,,1824,1043,,,,,,,1302
S16000108, Edinburgh Southern ," 59,587 "," 38,259 ",64.2," 38,492 ",64.6," 38,671 ",64.9, -   , 12 , -   , 221 , 233 ,0.6," 12,721 ", 30 , 3 , -   ," 12,754 "," 10,201 ", 16 , 83 , -   , 3 , 30 , 86 , 27 ," 2,308 "," 12,754 "," 10,201 "," 9,872 ", 19 , 7 , 48 , 79 , 148 , 28 ," 10,201 ", 445 , 99 , 329 ," 9,789 ", 260 , 21 , 13 , 294 ,22,3,3,0,3,30,,1068,,3315,1898,,,,,,,1059
S16000109, Edinburgh Western ," 61,666 "," 39,766 ",64.5," 39,890 ",64.7," 40,224 ",65.2, -   , 16 , 1 , 107 , 124 ,0.3," 14,184 ", 12 , 6 , -   ," 14,202 "," 11,615 ", 13 , 93 , -   , 6 , 12 , 86 , 41 ," 2,336 "," 14,202 "," 11,615 "," 11,250 ", 25 , 5 , 64 , 62 , 179 , 30 ," 11,615 ", 168 , 106 , 365 ," 11,157 ", 152 , 15 , 7 , 174 ,26,6,6,0,12,12,,1030,,2097,1020,,,,,,,1390
S16000111," Ettrick, Roxburgh & Berwickshire "," 54,517 "," 33,095 ",60.7," 33,183 ",60.9," 33,287 ",61.1, -   , 9 , -   , 79 , 88 ,0.3," 7,749 ", 27 , -   , 2 ," 7,778 "," 6,579 ", 5 , 23 , 8 , -   , 27 , 18 , 18 ," 1,100 "," 7,778 "," 6,579 "," 6,387 ", 15 , 6 , 32 , 41 , 82 , 16 ," 6,579 ", 198 , 28 , 192 ," 6,387 ", 196 , 4 , 12 , 212 ,75,0,0,0,1,1,0,382,14,1654,1495,,,,,,,1305
S16000112, Falkirk East ," 60,271 "," 32,524 ",54.0," 32,629 ",54.1," 32,717 ",54.3, -   , 16 , -   , 89 , 105 ,0.3," 7,499 ", 11 , 4 , -   ," 7,514 "," 6,031 ", 4 , 17 , -   , 4 , 11 , 12 , 21 ," 1,414 "," 7,514 "," 6,031 "," 5,838 ", 11 , 1 , 39 , 32 , 93 , 17 ," 6,031 ", 59 , 21 , 193 ," 5,838 ", 91 , 6 , 2 , 99 ,36,4,4,0,11,11,0,504,6,2526,428,314,2195,176,1411,90,,1208
S16000113, Falkirk West ," 59,812 "," 32,083 ",53.6," 32,203 ",53.8," 32,259 ",53.9, -   , 9 , -   , 111 , 120 ,0.4," 7,777 ", 16 , 3 , -   ," 7,796 "," 6,159 ", 3 , 26 , -   , 3 , 16 , 10 , 19 ," 1,560 "," 7,796 "," 6,159 "," 5,983 ", 12 , 5 , 30 , 26 , 85 , 18 ," 6,159 ", 72 , 29 , 176 ," 5,983 ", 124 , 1 , 4 , 129 ,31,3,3,0,16,16,2,536,8,2726,525,311,2438,189,1498,73,,1221
S16000114, Galloway & West Dumfries ," 56,321 "," 33,363 ",59.2," 33,458 ",59.4," 33,483 ",59.5, -   , 18 , -   , 77 , 95 ,0.3," 12,057 ", 25 , 14 , -   ," 12,096 "," 9,821 ", 1 , 33 , -   , 14 , 25 , 20 , 31 ," 2,151 "," 12,096 "," 9,821 "," 9,701 ", 29 , 24 , 20 , 18 , 20 , 9 ," 9,821 ", 132 , 28 , 120 ," 9,701 ", 128 , 10 , 13 , 151 ,72,14,14,0,25,0,0,24,10,829,1062,246,1398,162,1136,141,0,910
S16000115, Glasgow Anniesland ," 57,884 "," 29,016 ",50.1," 29,201 ",50.4," 29,287 ",50.6, -   , 29 , -   , 156 , 185 ,0.6," 8,880 ", 12 , 8 , -   ," 8,900 "," 6,381 ", 109 , 25 , -   , 8 , 12 , 139 , 31 ," 2,195 "," 8,900 "," 6,381 "," 6,217 ", 21 , 5 , 24 , 65 , 40 , 9 ," 6,381 ", 244 , 134 , 164 ," 6,110 ", 14 , 5 , 4 , 23 ,29,8,8,0,14,14,0,565,7,1961,973,,,,,,5,
S16000116, Glasgow Cathcart ," 60,871 "," 30,637 ",50.3," 30,816 ",50.6," 30,856 ",50.7, 2 , 14 , 1 , 162 , 179 ,0.6," 8,878 ", 16 , 5 , -   ," 8,899 "," 6,334 ", 65 , 27 , -   , 5 , 16 , 162 , 24 ," 2,266 "," 8,899 "," 6,334 "," 6,180 ", 14 , 2 , 35 , 55 , 36 , 12 ," 6,334 ", 152 , 92 , 154 ," 6,115 ", 19 , -   , 2 , 21 ,22,6,6,0,17,17,0,630,9,2146,1100,,,,,,7,
S16000117, Glasgow Kelvin ," 62,203 "," 28,442 ",45.7," 28,555 ",45.9," 28,614 ",46.0, -   , 20 , -   , 93 , 113 ,0.4," 7,565 ", 19 , 7 , -   ," 7,591 "," 5,114 ", 62 , 24 , -   , 7 , 19 , 213 , 26 ," 2,126 "," 5,465 "," 5,114 "," 5,004 ", 9 , 2 , 27 , 36 , 25 , 11 ," 5,114 ", 154 , 86 , 110 ," 4,942 ", 21 , 2 , 7 , 30 ,19,6,6,0,22,22,1,542,16,3679,2568,,,,,,14,
S16000118, Glasgow Maryhill & Springburn ," 53,647 "," 23,612 ",44.0," 23,749 ",44.3," 23,906 ",44.6, -   , 9 , 1 , 127 , 137 ,0.6," 7,985 ", 13 , 8 , -   ," 8,006 "," 5,496 ", 131 , 31 , -   , 8 , 13 , 141 , 30 ," 2,156 "," 5,850 "," 5,496 "," 5,334 ", 7 , 6 , 37 , 56 , 40 , 16 ," 5,496 ", 233 , 163 , 162 ," 5,202 ", 17 , 3 , 2 , 22 ,30,8,8,0,13,13,0,424,16,1915,846,,,,,,10,
S16000119, Glasgow Pollok ," 61,350 "," 27,943 ",45.5," 28,085 ",45.8," 28,254 ",46.1, -   , 26 , -   , 116 , 142 ,0.5," 9,182 ", 19 , 4 , -   ," 9,205 "," 6,364 ", 119 , 25 , -   , 4 , 19 , 161 , 37 ," 2,476 "," 6,729 "," 6,364 "," 6,172 ", 15 , 2 , 41 , 79 , 45 , 10 ," 6,364 ", 287 , 144 , 192 ," 6,053 ", 13 , 1 , -   , 14 ,26,4,4,0,19,19,0,576,6,1996,874,,,,,,9,
S16000120, Glasgow Provan ," 56,169 "," 24,077 ",42.9," 24,248 ",43.2," 24,219 ",43.1, -   , 15 , -   , 156 , 171 ,0.7," 7,604 ", 5 , 5 , -   ," 7,614 "," 5,257 ", 97 , 28 , -   , 5 , 5 , 122 , 32 ," 2,068 "," 5,546 "," 5,257 "," 5,115 ", 14 , 2 , 28 , 49 , 34 , 15 ," 5,257 ", 202 , 125 , 142 ," 5,115 ", 16 , 1 , 1 , 18 ,29,5,5,0,5,5,0,433,8,2072,969,,,,,,3,
S16000121, Glasgow Shettleston ," 58,021 "," 25,375 ",43.7," 25,506 ",44.0," 25,638 ",44.2, -   , 15 , 1 , 115 , 131 ,0.5," 8,197 ", 14 , 7 , -   ," 8,218 "," 5,643 ", 93 , 31 , -   , 7 , 14 , 124 , 24 ," 2,282 "," 5,936 "," 5,643 "," 5,475 ", 12 , -   , 38 , 66 , 41 , 11 ," 5,643 ", 170 , 126 , 168 ," 5,380 ", 17 , -   , 1 , 18 ,27,7,7,0,15,15,0,486,6,2300,974,,,,,,4,
S16000122, Glasgow Southside ," 52,141 "," 24,903 ",47.8," 25,182 ",48.3," 25,150 ",48.2, -   , 18 , -   , 261 , 279 ,1.1," 7,695 ", 13 , 8 , -   ," 7,716 "," 5,107 ", 83 , 21 , -   , 8 , 13 , 106 , 39 ," 2,339 "," 5,377 "," 5,107 "," 4,942 ", 9 , 4 , 26 , 78 , 30 , 18 ," 5,107 ", 184 , 104 , 165 ," 4,860 ", 14 , 4 , 2 , 20 ,19,7,7,0,15,15,1,665,11,2797,1385,,,,,,1,
S16000123, Greenock & Inverclyde ," 55,172 "," 31,725 ",57.5," 31,838 ",57.7," 31,797 ",57.6, -   , 12 , 1 , 100 , 113 ,0.4," 11,407 ", 23 , 1 , -   ," 11,431 "," 8,592 ", 10 , 148 , -   , 1 , 23 , 72 , 12 ," 2,573 "," 11,431 "," 8,750 "," 8,520 ", 3 , 3 , 3 , 157 , 54 , 10 ," 8,750 ", 146 , 158 , 230 ," 8,520 ", 82 , 1 , 1 , 84 ,35,1,1,0,7,7,2,647,5,352,491,149,2903,430,1069,177,83,1269
S16000124," Hamilton, Larkhall & Stonehouse "," 57,662 "," 28,885 ",50.1," 28,995 ",50.3," 28,959 ",50.2, -   , 19 , -   , 91 , 110 ,0.4," 8,049 ", 14 , 4 , -   ," 8,067 "," 5,692 ", 104 , 23 , 31 , 4 , 14 , 6 , 12 ," 2,181 "," 8,067 "," 5,692 "," 5,618 ", 11 , 2 , 31 , 6 , 24 , -   ," 5,692 ", 91 , 127 , 74 ," 5,618 ", 105 , 2 , 4 , 111 ,28,4,4,0,14,14,0,485,9,1708,668,303,1404,51,1069,23,11,992
S16000125, Inverness & Nairn ," 66,619 "," 38,317 ",57.5," 38,539 ",57.8," 38,467 ",57.7, -   , 14 , -   , 208 , 222 ,0.6," 13,958 ", 15 , 6 , 8 ," 13,987 "," 10,645 ", 111 , 27 , 144 , 4 , 19 , 119 , 36 ," 2,882 "," 13,987 "," 10,645 "," 10,495 ", 25 , 1 , 34 , 37 , 50 , 3 ," 10,645 ", 127 , 138 , 150 ," 10,495 ", 227 , 14 , 9 , 250 , 40 , 4 , 4 , -   , 19 , 17 , -   , 916 , 2 ,,,,,,,,," 1,315 "
S16000126, Kilmarnock & Irvine Valley ," 62,620 "," 34,385 ",54.9," 34,501 ",55.1," 34,549 ",55.2, -   , 15 , -   , 101 , 116 ,0.3," 9,577 ", 7 , 13 , -   ," 9,597 "," 7,657 ", 82 , 25 , 39 , 13 , 7 , 46 , 9 ," 1,739 "," 9,597 "," 7,739 "," 7,573 ", 17 , 4 , 25 , 82 , 36 , 2 ," 7,739 ", 123 , 107 , 166 ," 7,493 ", 95 , 3 , 8 , 106 , 31 , 13 , 13 , -   , 7 , 7 , -   , 494 , 7 ," 2,085 "," 1,526 ", 383 ," 2,571 ", 299 ," 1,602 ", 181 , 6 ," 1,178 "
S16000127, Kirkcaldy ," 59,533 "," 31,108 ",52.3," 31,267 ",52.5," 31,355 ",52.7, -   , 13 , 1 , 145 , 159 ,0.5," 11,318 ", 8 , 3 , -   ," 11,329 "," 8,500 ", 105 , 31 , -   , 3 , 8 , 37 , 57 ," 2,588 "," 11,329 "," 8,500 "," 8,358 ", 9 , 2 , 29 , 56 , 35 , 11 ," 8,500 ", 64 , 136 , 142 ," 8,253 ", 65 , 3 , 2 , 70 , 34 , 3 , 3 , -   , 8 , 8 , -   , 551 , 42 ,,,,,,,,,
S16000128, Linlithgow ," 71,434 "," 38,407 ",53.8," 38,550 ",54.0," 38,720 ",54.2, -   , 8 , -   , 135 , 143 ,0.4," 12,975 ", 13 , 3 , 6 ," 12,997 "," 9,431 ", 97 , 31 , 59 , 3 , 13 , 86 , 26 ," 3,251 "," 12,997 "," 9,431 "," 9,118 ", 28 , 8 , 74 , 36 , 147 , 20 ," 9,431 ", 243 , 128 , 313 ," 9,118 ", 124 , 3 , 2 , 129 , 76 , 3 , 3 , -   , 15 , 13 , -   ," 1,029 ", 6 ," 2,358 ", 982 ,,,,,,," 1,557 "
S16000129, Mid Fife & Glenrothes ," 53,241 "," 28,547 ",53.6," 28,621 ",53.8," 28,784 ",54.1, -   , 8 , -   , 66 , 74 ,0.3," 9,285 ", 7 , -   , -   ," 9,292 "," 7,067 ", 100 , 26 , -   , -   , 7 , 30 , 16 ," 2,046 "," 9,292 "," 7,067 "," 6,930 ", 14 , 1 , 33 , 41 , 37 , 11 ," 7,067 ", 56 , 126 , 137 ," 6,830 ", 65 , 3 , 2 , 70 , 34 , -   , -   , -   , 7 , 7 , 1 , 586 , 9 ,,,,,,,,,
S16000130, Midlothian North & Musselburgh ," 63,360 "," 34,685 ",54.7," 34,825 ",55.0," 35,020 ",55.3, 2 , 12 , -   , 126 , 140 ,0.4," 12,351 ", 13 , 5 , -   ," 12,369 "," 9,380 ", 72 , 33 , -   , 5 , 13 , 60 , 21 ," 2,785 "," 12,369 "," 9,380 "," 9,045 ", 25 , 17 , 42 , 62 , 150 , 39 ," 9,482 ", 337 , 105 , 335 ," 9,045 ", 128 , 14 , 5 , 147 , 29 , 13 , 13 , -   , 5 , 5 , -   , 454 , 21 ," 1,955 "," 1,005 ",,,,,,," 1,495 "
S16000131," Midlothian South, Tweeddale & Lauderdale "," 60,203 "," 35,581 ",59.1," 35,737 ",59.4," 35,809 ",59.5, -   , 15 , -   , 141 , 156 ,0.4," 9,476 ", 22 , -   , 1 ," 9,499 "," 7,576 ", 4 , 12 , 9 , -   , 22 , 27 , 28 ," 1,818 "," 9,499 "," 7,576 "," 7,348 ", 15 , 2 , 31 , 62 , 93 , 25 ," 7,576 ", 111 , 16 , 228 ," 7,348 ", 139 , 1 , 7 , 147 , 40 , -   , -   , -   , 2 , 2 , -   , 499 , 18 ," 1,132 "," 1,043 ",,, 307 ," 3,052 ", 224 ,, 996 
S16000132, Moray ," 61,969 "," 33,421 ",53.9," 33,544 ",54.1," 33,637 ",54.3, -   , 14 , -   , 109 , 123 ,0.4," 12,110 ", 21 , 5 , 45 ," 12,181 "," 9,388 ", 107 , 15 , -   , 21 , 5 , 104 , 25 ," 2,793 "," 12,181 "," 9,388 "," 9,279 ", 15 , 2 , 31 , 7 , 45 , 9 ," 9,388 ", 128 , 122 , 109 ," 9,172 ", 255 , 47 , 5 , 307 , 46 , 1 , 1 , -   , 25 , 25 , 1 , 759 , 18 ," 3,984 "," 2,652 ", 521 ," 2,451 ", 200 ," 2,188 ", 217 , 11 ," 1,448 "
S16000133, Motherwell & Wishaw ," 57,062 "," 29,111 ",51.0," 29,244 ",51.2," 29,245 ",51.3, 3 , 13 , -   , 117 , 133 ,0.5," 7,518 ", 14 , 5 , -   ," 7,537 "," 4,744 ", 16 , 110 , 4 , 5 , 14 , 66 , 9 ," 2,569 "," 7,537 "," 4,638 "," 4,610 ", 12 , 2 , 8 , 5 , 1 , -   ," 4,638 ", 76 , 126 , 28 ," 4,610 ", 62 , 1 , 1 , 64 , 26 , -   , -   , -   , 3 , 3 , 3 , 410 ,," 1,655 ", 846 , 361 ," 1,418 ", 44 ," 1,255 ", 31 , 5 , 952 
S16000110, Nah h-Eilanan an Iar ," 21,695 "," 13,206 ",60.9," 13,265 ",61.1," 13,332 ",61.5, -   , 12 , -   , 47 , 59 ,0.4," 4,531 ", 6 , 5 , -   ," 4,542 "," 3,609 ", 27 , 6 , 62 , 5 , 6 , 10 , 3 , 814 ," 4,542 "," 3,556 "," 3,484 ", 3 , 3 , 13 , 29 , 22 , 2 ," 3,556 ", 33 , 33 , 72 ," 3,483 ", 126 , 10 , -   , 136 , 41 , -   , -   , -   , -   , -   , -   , 94 , -   , 658 , 574 , 90 , 756 , 98 , 673 , 99 , -   , 435 
S16000134, North East Fife ," 54,052 "," 34,063 ",63.0," 34,164 ",63.2," 34,275 ",63.4, -   , 11 , -   , 90 , 101 ,0.3," 10,134 ", 4 , 2 , -   ," 10,140 "," 8,195 ", 70 , 32 , -   , 2 , 4 , 50 , 35 ," 1,752 "," 10,140 "," 8,195 "," 8,053 ", 15 , 3 , 20 , 51 , 48 , 5 ," 8,195 ", 52 , 102 , 142 ," 7,983 ", 179 , 4 , 1 , 184 , 48 , 2 , 2 , -   , 4 , 4 , -   , 613 , 20 ,,,,,,,,,
S16000135, Orkney Islands ," 16,997 "," 10,534 ",62.0," 10,562 ",62.1," 10,586 ",62.3, -   , 4 , -   , 24 , 28 ,0.3," 4,253 ", 6 , 5 , -   ," 4,264 "," 3,495 ", 12 , 4 , -   , 5 , 6 , 22 , 8 , 712 ," 4,264 "," 3,483 "," 3,443 ", 6 , 3 , 11 , 8 , 12 , -   ," 3,483 ", 61 , 16 , 40 ," 3,443 ", 94 , 13 , 7 , 114 , 10 , 5 , 5 , -   , 6 , 6 , -   , 292 , 3 ,,,,,,,,,
S16000136, Paisley ," 51,673 "," 29,464 ",57.0," 29,592 ",57.3," 29,577 ",57.2, -   , 17 , -   , 111 , 128 ,0.4," 11,049 ", 22 , 4 , -   ," 11,075 "," 8,532 ", 37 , 152 , -   , 4 , 22 , 99 , 12 ," 2,217 "," 11,075 "," 8,532 "," 8,419 ", 6 , 11 , 2 , 45 , 42 , 7 ," 8,532 ", 82 , 189 , 113 ," 8,419 ", 69 , 2 , 6 , 77 , 27 , 3 , 3 , -   , 4 , 4 , 2 , 670 , -   ," 2,676 ", 956 , 109 ," 2,679 ", 335 ," 1,151 ", 166 ,," 1,011 "
