ONS ward No.,Local Authority,Ward,GENERAL,,,,,,,SPOILT PAPERS,,,,,,POSTAL VOTES,,,,,,,,,,,,,,,,,,,AUTHORITY DATA,,,,,,,,,,,,,,,,,,,,,,,,
,,,Electorate ,Total votes cast,Ballot box Turnout,Total valid votes cast ,valid vote turnout ,Ballots returned including rejected PVs,Total participation turnout,Want of Official Mark,Voting for more candidates,Writing/mark by which voter could be identified,Unmarked or wholly void for uncertainty,Rejected in part,Total number of ballot papers rejected at the count ,Number of postal ballot papers issued,"Total number of ballot papers issued under regulations 77, 78 & 78A",Total number of ballot papers cancelled under 86A,Total number of postal ballot papers issued A1 to A3,Total number of Ballot papers cancelled under Para 78A,Total number of covering envelopes received by RO before the close of poll ,Number of covering envelopes received after close of poll,Number of postal ballot s returned spoilt for cancellation in time for re-issue,Number of postal ballots lost or not received in time for a re-issue,Number of ballot papers cancelled and retrieved in time for re-issue,Number of ballot papers returned as spoilt too late for re-issue,Number of covering envelopes returned by post as undelivered ,Number of covering envelopes NOT received by the Returning Officer by 25th Day,TOTAL numbers B6 to B13,Number of covering envelopes set aside for verification,Number of postal voting statements rejected following verification -not completed,Number of postal voting statements rejected following verification -personal identifier match,Number of postal votes included in the count,TOTAL marked 'REJECTED',How many people tried to register after the close of registration etc?,How many people tried to vote on polling day and were unregistered?,Number of electors who appointed a proxy to vote on their behalf,Emergency proxies issued,How many waivers were granted for this election?,What was your issue date for postal votes sent overseas?,What was your delivery date for postal votes sent to UK electors?,Number of covering envelopes returned on polling day in time for the count,How many covering envelopes returned on the day after polling day by 10pm?,Did you carry out a sweep?,PV statement rejected (No signature),PV statement rejected (No DoB),PV statement rejected (Both),PV statement rejected (Mismatched signature),PV statement rejected (Mismatched DoB),PV statement rejected (Mismatched both) ,Ballot paper not returned,Postal voting statement unreturned,Who is your electoral management software supplier?,Which software system do you use for postal vote verification?,What was the total number of polling stations used?,,,,
E05001255,Dudley,St. Thomas,"10,033","3,438",34.3,"3,428",34.2,"3,465",34.5,0,5,0,5,0,10,1099,4,0,1103,6,798,11,2,2,0,0,0,290,1103,798,9,18,771,27,,,,,,,,,,,,,,,,,,,,,,,,,
E05001257,Dudley,Upper Gornal & Woodsetton,"10,170","3,511",34.5,"3,500",34.4,"3,538",34.8,0,8,0,3,0,11,1227,0,0,1227,4,899,6,0,0,0,0,0,322,1227,899,10,14,872,27,,,,,,,,,,,,,,,,,,,,,,,,,
E05001258,Dudley,Wollaston & Stourbridge Town,"10,069","3,969",39.4,"3,955",39.3,"3,989",39.6,0,5,0,9,0,14,1389,0,0,1389,1,1020,5,0,0,0,0,1,363,1389,1020,11,9,1000,20,,,,,,,,,,,,,,,,,,,,,,,,,
E05001259,Dudley,Wordsley,"10,214","3,601",35.3,"3,582",35.1,"3,615",35.4,0,3,0,16,0,19,1328,3,0,1331,8,997,8,0,3,0,0,2,321,1331,997,5,6,983,14,,,,,,,,,,,,,,,,,,,,,,,,,
E05001067,Gateshead,BIRTLEY,"6,234","2,200",35.3,"2,172",34.8,"2,249",36.1,0,14,0,14,0,28,1926,1,0,1927,4,1303,2,0,1,0,0,3,617,1926,1303,15,31,1254,49,216,25,78,0,251,06/05/2014,13/05/2014,3934,50,Yes,57,51,191,269,228,127,402,143,Xpress,Xpress,130,,,,
E05001068,Gateshead,Blaydon,"7,339","2,264",30.8,"2,254",30.7,"2,329",31.7,0,0,0,10,0,10,2272,0,0,2272,6,1429,20,0,0,0,0,9,814,2272,1429,20,26,1364,65,,,,,,,,,,,,,,,,,,,,,,,,,
E05001069,Gateshead,Bridges,"5,679","1,762",31.0,"1,744",30.7,"1,800",31.7,0,4,0,14,0,18,1768,0,0,1768,3,1079,9,0,0,0,0,12,668,1768,1079,6,21,1041,38,,,,,,,,,,,,,,,,,,,,,,,,,
E05009313,Gateshead,Chopwell & Rowlands Gill,"7,230","2,833",39.2,"2,821",39.0,"2,917",40.3,0,0,1,11,0,12,2434,2,0,2436,6,1706,11,1,1,0,0,2,715,2436,1706,21,35,1622,84,,,,,,,,,,,,,,,,,,,,,,,,,
E05001071,Gateshead,Chowdene,"7,209","2,622",36.4,"2,589",35.9,"2,706",37.5,0,7,1,25,0,33,2355,2,0,2357,15,1684,8,0,2,0,0,8,655,2357,1684,24,34,1600,84,,,,,,,,,,,,,,,,,,,,,,,,,
E05001072,Gateshead,Crawcrook & Greenside,"6,809","2,550",37.5,"2,537",37.3,"2,621",38.5,0,0,0,13,0,13,2183,0,0,2183,7,1467,11,0,0,0,0,3,702,2183,1467,15,28,1396,71,,,,,,,,,,,,,,,,,,,,,,,,,
E05001073,Gateshead,Deckham,"6,823","1,884",27.6,"1,866",27.3,"1,964",28.8,0,1,0,17,0,18,1962,1,0,1963,6,1292,6,1,0,0,0,8,656,1963,1292,14,24,1212,80,,,,,,,,,,,,,,,,,,,,,,,,,
E05001074,Gateshead,Dunston & Teams,"6,367","1,806",28.4,"1,803",28.3,"1,859",29.2,0,2,0,1,0,3,1781,0,0,1781,4,1105,8,0,0,0,0,8,660,1781,1105,9,27,1052,53,,,,,,,,,,,,,,,,,,,,,,,,,
E05001075,Gateshead,Dunston Hill & Whickham East,"6,801","2,824",41.5,"2,816",41.4,"2,884",42.4,0,4,0,4,0,8,2443,2,0,2445,6,1659,3,1,1,0,0,4,777,2445,1659,11,35,1599,60,,,,,,,,,,,,,,,,,,,,,,,,,
E05001076,Gateshead,Felling,"6,045","1,869",30.9,"1,862",30.8,"1,936",32.0,0,2,0,5,0,7,1606,2,0,1608,7,1083,6,1,1,0,0,5,512,1608,1083,14,19,1016,67,,,,,,,,,,,,,,,,,,,,,,,,,
E05001077,Gateshead,High Fell,"6,439","1,879",29.2,"1,874",29.1,"1,944",30.2,0,3,0,2,0,5,1774,5,0,1779,7,1181,5,3,2,0,0,9,579,1779,1181,12,36,1116,65,,,,,,,,,,,,,,,,,,,,,,,,,
E05001078,Gateshead,Lamesley,"7,251","2,395",33.0,"2,371",32.7,"2,474",34.1,0,4,0,20,0,24,2185,2,0,2187,6,1434,5,0,2,0,0,6,740,2187,1434,12,32,1355,79,,,,,,,,,,,,,,,,,,,,,,,,,
E05001079,Gateshead,Lobley Hill & Bensham,"7,531","2,417",32.1,"2,415",32.1,"2,485",33.0,0,0,0,2,0,2,2094,2,0,2096,12,1443,6,2,0,0,0,6,639,2096,1443,12,31,1375,68,,,,,,,,,,,,,,,,,,,,,,,,,
E05001080,Gateshead,Low Fell,"7,160","3,132",43.7,"3,126",43.7,"3,180",44.4,0,1,0,5,0,6,2252,6,0,2258,15,1592,3,4,2,0,0,9,648,2258,1592,13,17,1544,48,,,,,,,,,,,,,,,,,,,,,,,,,
E05001081,Gateshead,Pelaw & Heworth,"6,657","2,293",34.4,"2,285",34.3,"2,359",35.4,0,0,0,8,0,8,1900,4,0,1904,8,1270,8,1,3,0,0,6,616,1904,1270,10,38,1204,66,,,,,,,,,,,,,,,,,,,,,,,,,
E05001082,Gateshead,Ryton Crookhill & Stella,"6,818","3,098",45.4,"3,095",45.4,"3,143",46.1,0,0,0,3,0,3,2288,4,0,2292,9,1616,15,2,2,0,0,7,650,2292,1616,13,21,1571,27,,,,,,,,,,,,,,,,,,,,,,,,,
E05001083,Gateshead,Saltwell,"6,140","1,971",32.1,"1,963",32.0,"1,998",32.5,0,1,0,7,0,8,1723,2,0,1725,5,1070,1,1,1,0,0,3,649,1725,1070,9,25,1043,27,,,,,,,,,,,,,,,,,,,,,,,,,
E05001084,Gateshead,Wardley & Leam Lane,"6,314","2,209",35.0,"2,199",34.8,"2,286",36.2,0,1,4,5,0,10,2060,1,0,2061,7,1344,2,1,0,0,0,4,710,2061,1344,19,21,1267,77,,,,,,,,,,,,,,,,,,,,,,,,,
E05001085,Gateshead,Whickham North,"6,565","2,818",42.9,"2,810",42.8,"2,900",44.2,0,2,0,6,0,8,2551,3,0,2554,10,1815,16,0,3,0,0,6,714,2554,1815,14,35,1733,82,,,,,,,,,,,,,,,,,,,,,,,,,
E05001086,Gateshead,Whickham South & Sunniside,"6,634","2,820",42.5,"2,816",42.4,"2,868",43.2,0,1,0,3,0,4,2563,3,0,2566,10,1804,4,2,1,0,0,3,752,2566,1804,11,25,1756,48,,,,,,,,,,,,,,,,,,,,,,,,,
E05001087,Gateshead,Windy Nook & Whitehills,"7,474","2,324",31.1,"2,319",31.0,"2,400",32.1,0,1,0,4,0,5,2230,1,0,2231,7,1447,10,1,0,0,0,13,760,2231,1447,13,36,1371,76,,,,,,,,,,,,,,,,,,,,,,,,,
E05001088,Gateshead,Winlaton & High Spen,"6,964","2,709",38.9,"2,702",38.8,"2,772",39.8,0,0,1,6,0,7,2300,4,0,2304,15,1581,29,2,2,0,0,4,686,2304,1581,12,27,1518,63,,,,,,,,,,,,,,,,,,,,,,,,,
E05008558,Kirklees,Almondbury,"13,967","4,679",33.5,"4,654",33.3,"4,736",33.9,0,0,0,25,0,25,2300,0,0,2300,8,1690,23,0,0,0,0,6,581,2300,1690,18,8,1633,31,N/A,N/A,144,6,215,09/05/2014,09/05/2014,35217,47,No,220,84,74,142,116,14,49,37,Idox,Idox,190,,,,
E05001389,Kirklees,Ashbrow,"13,938","4,303",30.9,"4,268",30.6,"4,361",31.3,0,2,1,32,0,35,2231,0,0,2231,7,1575,14,0,0,0,0,7,635,2231,1575,19,9,1517,30,,,,,,,,,,,,,,,,,,,,,,,,,
E05001390,Kirklees,Batley East,"12,891","5,417",42.0,"5,367",41.6,"5,492",42.6,0,13,1,36,0,50,1797,0,0,1797,12,1335,25,0,0,0,0,4,433,1797,1335,13,23,1260,39,,,,,,,,,,,,,,,,,,,,,,,,,
E05001391,Kirklees,Batley West,"13,418","4,813",35.9,"4,762",35.5,"4,875",36.3,0,12,0,39,0,51,1655,0,0,1655,5,1176,22,0,0,0,0,3,454,1655,1176,13,16,1114,33,,,,,,,,,,,,,,,,,,,,,,,,,
E05001392,Kirklees,Birstall & Birkenshaw,"12,800","4,253",33.2,"4,201",32.8,"4,283",33.5,0,3,0,49,0,52,1793,0,0,1793,8,1197,13,0,0,0,0,3,580,1793,1197,12,2,1167,16,,,,,,,,,,,,,,,,,,,,,,,,,
E05001393,Kirklees,Cleckheaton,"13,286","4,504",33.9,"4,431",33.4,"4,547",34.2,0,1,22,50,0,73,2021,1,0,2022,10,1370,10,0,1,0,0,10,631,2022,1370,18,3,1327,22,,,,,,,,,,,,,,,,,,,,,,,,,
E05008559,Kirklees,Colne Valley,"13,639","5,169",37.9,"5,151",37.8,"5,222",38.3,0,0,8,10,0,18,2333,0,0,2333,10,1687,11,0,0,0,0,10,625,2333,1687,17,8,1634,28,,,,,,,,,,,,,,,,,,,,,,,,,
E05008560,Kirklees,Crosland Moor & Netherton,"13,424","5,088",37.9,"5,040",37.5,"5,179",38.6,0,6,1,41,0,48,2150,0,0,2150,6,1510,16,0,0,0,0,5,619,2150,1510,20,25,1419,46,,,,,,,,,,,,,,,,,,,,,,,,,
E05001396,Kirklees,Dalton,"12,872","3,720",28.9,"3,680",28.6,"3,775",29.3,0,3,0,37,0,40,1759,0,0,1759,17,1291,9,0,0,0,0,6,453,1759,1291,18,9,1236,28,,,,,,,,,,,,,,,,,,,,,,,,,
E05001397,Kirklees,Denby Dale,"12,841","5,188",40.4,"5,140",40.0,"5,227",40.7,0,5,0,43,0,48,2267,0,0,2267,11,1671,9,0,0,0,0,10,577,2267,1671,15,3,1632,21,,,,,,,,,,,,,,,,,,,,,,,,,
E05001398,Kirklees,Dewsbury East,"13,707","4,660",34.0,"4,643",33.9,"4,716",34.4,0,3,0,14,0,17,1970,1,0,1971,11,1408,15,0,1,0,0,8,539,1971,1408,15,10,1352,31,,,,,,,,,,,,,,,,,,,,,,,,,
E05001399,Kirklees,Dewsbury South,"13,165","5,621",42.7,"5,583",42.4,"5,745",43.6,0,4,0,34,0,38,2394,4,0,2398,10,1891,18,0,4,0,0,8,477,2398,1891,14,43,1767,67,,,,,,,,,,,,,,,,,,,,,,,,,
E05001400,Kirklees,Dewsbury West,"13,527","5,492",40.6,"5,439",40.2,"5,578",41.2,0,9,0,44,0,53,1800,1,0,1801,4,1337,15,0,1,0,0,7,441,1801,1337,144,27,1251,45,,,,,,,,,,,,,,,,,,,,,,,,,
E05001401,Kirklees,Golcar,"13,757","4,567",33.2,"4,557",33.1,"4,615",33.5,0,2,0,8,0,10,2173,0,0,2173,6,1552,7,0,0,0,0,6,608,2173,1552,15,7,1504,26,,,,,,,,,,,,,,,,,,,,,,,,,
E05001402,Kirklees,Greenhead,"13,925","5,152",37.0,"5,096",36.6,"5,233",37.6,0,12,0,44,0,56,1905,0,0,1905,5,1345,24,0,0,0,0,12,524,1905,1345,26,13,1264,42,,,,,,,,,,,,,,,,,,,,,,,,,
E05001403,Kirklees,Heckmondwike,"13,191","4,195",31.8,"4,126",31.3,"4,251",32.2,0,5,1,63,0,69,1836,0,0,1836,4,1189,16,0,0,0,0,5,626,1836,1189,17,8,1133,31,,,,,,,,,,,,,,,,,,,,,,,,,
E05008561,Kirklees,Holme Valley North,"12,845","4,868",37.9,"4,828",37.6,"4,914",38.3,0,1,0,39,0,40,2641,0,0,2641,11,1901,12,0,0,0,0,7,721,2641,1901,13,7,1855,26,,,,,,,,,,,,,,,,,,,,,,,,,
E05001405,Kirklees,Holme Valley South,"14,627","5,266",36.0,"5,215",35.7,"5,321",36.4,0,1,0,50,0,51,2769,1,0,2770,6,1903,16,0,1,0,0,6,844,2770,1903,23,3,1848,29,,,,,,,,,,,,,,,,,,,,,,,,,
E05008562,Kirklees,Kirkburton,"13,171","4,557",34.6,"4,525",34.4,"4,592",34.9,0,0,0,32,0,32,2266,0,0,2266,4,1668,5,0,0,0,0,5,588,2266,1668,10,6,1633,19,,,,,,,,,,,,,,,,,,,,,,,,,
E05001407,Kirklees,Lindley,"14,408","5,432",37.7,"5,416",37.6,"5,480",38.0,0,2,0,14,0,16,2802,4,0,2806,3,2042,24,0,4,0,0,12,724,2806,2042,14,7,1994,27,,,,,,,,,,,,,,,,,,,,,,,,,
E05001408,Kirklees,Liversedge & Gomersal,"14,007","4,538",32.4,"4,481",32.0,"4,582",32.7,0,4,0,53,0,57,2177,0,0,2177,8,1470,13,0,0,0,0,10,684,2177,1470,15,7,1426,22,,,,,,,,,,,,,,,,,,,,,,,,,
E05001409,Kirklees,Mirfield,"15,433","5,596",36.3,"5,543",35.9,"5,684",36.8,0,5,0,48,0,53,2641,0,0,2641,6,1918,12,0,0,0,0,8,703,2641,1918,27,13,1830,48,,,,,,,,,,,,,,,,,,,,,,,,,
E05001410,Kirklees,Newsome,"13,952","4,102",29.4,"4,088",29.3,"4,160",29.8,0,3,0,11,0,14,1546,0,0,1546,6,1091,23,0,0,0,0,16,416,1546,1091,12,15,1033,31,,,,,,,,,,,,,,,,,,,,,,,,,
E05000865,Knowsley,Cherryfield,"5,603","1,524",27.2,"1,497",26.7,"1,541",27.5,0,3,0,24,0,27,767,5,0,772,5,454,0,0,5,0,0,0,313,772,454,7,4,437,17,179,12,31,0,29,06/05/2014,02/05/2014,1828,0,Yes,15,17,59,19,38,4,12,12,Xpress,Xpress,86,,,,
E05000866,Knowsley,Halewood North,"5,125","1,348",26.3,"1,335",26.0,"1,355",26.4,0,1,0,12,0,13,731,2,0,733,2,387,0,0,2,0,0,1,343,733,387,1,1,380,7,,,,,,,,,,,,,,,,,,,,,,,,,
E05000867,Knowsley,Halewood South,"5,505","1,607",29.2,"1,599",29.1,"1,609",29.2,0,1,0,7,0,8,793,0,0,793,1,530,0,0,0,0,0,2,261,793,530,0,1,528,2,,,,,,,,,,,,,,,,,,,,,,,,,
E05000868,Knowsley,Halewood West -uncont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05000869,Knowsley,Kirkby Central,"4,992","1,548",31.0,"1,533",30.7,"1,571",31.5,0,1,0,14,0,15,700,7,0,707,9,474,0,0,7,0,0,1,225,707,474,7,4,451,23,,,,,,,,,,,,,,,,,,,,,,,,,
E05000870,Knowsley,Longview,"6,392","1,547",24.2,"1,543",24.1,"1,570",24.6,0,0,0,4,0,4,934,1,0,935,1,585,0,0,1,0,0,3,346,935,585,12,5,562,23,,,,,,,,,,,,,,,,,,,,,,,,,
E05000871,Knowsley,Northwood,"5,512","1,549",28.1,"1,537",27.9,"1,565",28.4,0,4,0,8,0,12,797,5,0,802,6,543,0,0,5,0,0,11,243,802,543,5,4,527,16,,,,,,,,,,,,,,,,,,,,,,,,,
E05000872,Knowsley,Page Moss -uncont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05000873,Knowsley,Park,"5,055","1,431",28.3,"1,408",27.8,"1,454",28.8,0,4,0,19,0,23,751,1,0,752,3,459,0,0,1,0,0,4,288,752,459,7,5,436,23,,,,,,,,,,,,,,,,,,,,,,,,,
E05000874,Knowsley,Prescot East,"5,826","1,573",27.0,"1,519",26.1,"1,585",27.2,0,3,0,51,0,54,860,0,0,860,4,540,0,0,0,0,0,3,317,860,540,3,2,528,12,,,,,,,,,,,,,,,,,,,,,,,,,
E05000875,Knowsley,Prescot West,"5,232","1,711",32.7,"1,703",32.5,"1,725",33.0,0,1,0,7,0,8,861,3,0,864,3,569,0,0,3,0,0,5,287,864,569,6,4,555,14,,,,,,,,,,,,,,,,,,,,,,,,,
E05000876,Knowsley,Roby,"6,042","2,036",33.7,"2,018",33.4,"2,046",33.9,0,0,0,18,0,18,972,3,0,975,3,657,0,0,3,0,0,1,314,975,657,2,3,647,10,,,,,,,,,,,,,,,,,,,,,,,,,
E05000880,Knowsley,Shevington,"5,281","1,495",28.3,"1,482",28.1,"1,505",28.5,0,3,0,10,0,13,775,1,0,776,1,482,0,0,1,0,0,9,284,776,482,1,2,472,10,,,,,,,,,,,,,,,,,,,,,,,,,
E05000877,Knowsley,St. Bartholomews,"5,336","1,676",31.4,"1,631",30.6,"1,689",31.6,0,4,0,41,0,45,1103,3,0,1106,5,750,0,0,3,0,0,1,352,1106,750,2,1,737,13,,,,,,,,,,,,,,,,,,,,,,,,,
E05000878,Knowsley,St. Gabriels,"5,260","1,567",29.8,"1,555",29.6,"1,578",30.0,0,3,0,9,0,12,799,6,0,805,7,524,0,0,6,0,0,1,274,805,524,6,3,513,11,,,,,,,,,,,,,,,,,,,,,,,,,
E05000879,Knowsley,St. Michaels,"5,333","1,541",28.9,"1,531",28.7,"1,560",29.3,0,1,0,9,0,10,828,3,0,831,5,562,0,0,3,0,0,1,265,831,562,9,5,543,19,,,,,,,,,,,,,,,,,,,,,,,,,
E05000881,Knowsley,Stockbridge,"4,484","1,206",26.9,"1,189",26.5,"1,220",27.2,0,3,0,14,0,17,637,2,0,639,3,435,0,0,2,0,0,2,200,639,435,6,4,421,14,,,,,,,,,,,,,,,,,,,,,,,,,
E05000882,Knowsley,Swanside,"5,350","1,787",33.4,"1,757",32.8,"1,803",33.7,0,3,0,27,0,30,953,2,0,955,2,626,0,0,2,0,0,6,321,955,626,5,4,610,16,,,,,,,,,,,,,,,,,,,,,,,,,
E05000883,Knowsley,Whiston North,"5,465","1,568",28.7,"1,509",27.6,"1,593",29.2,0,5,0,54,0,59,960,1,0,961,2,626,0,0,1,0,0,2,332,961,626,5,4,601,25,,,,,,,,,,,,,,,,,,,,,,,,,
E05000884,Knowsley,Whiston South,"5,481","1,683",30.7,"1,619",29.5,"1,704",31.1,0,2,0,62,0,64,912,0,0,912,4,621,0,0,0,0,0,0,291,912,621,2,2,600,21,,,,,,,,,,,,,,,,,,,,,,,,,
E05000885,Knowsley,Whitefield,"4,895","1,513",30.9,"1,493",30.5,"1,529",31.2,0,2,0,18,0,20,728,1,0,729,1,506,0,0,1,0,0,6,216,729,506,5,3,490,16,,,,,,,,,,,,,,,,,,,,,,,,,
E05001411,Leeds,Adel & Wharfedale,"15,589","6,820",43.8,"6,798",43.6,"6,970",44.7,,3,,19,,22,4093,8,15,4116,6,2988,11,1,7,15,,9,1085,4116,2988,6,40,2838,46,57,23,113,13,143,01/05/2014,08/05/2014,663,125,no,187,19,37,412,300,129,,,Halarose,AvantGuard,361,,,,
E05001412,Leeds,Alwoodley,"17,530","6,714",38.3,"6,694",38.2,"6,843",39.0,,2,,18,,20,3510,1,13,3524,,2534,12,1,,13,,12,952,3524,2439,7,26,2405,34,,,,,,,,,,,,,,,,,,,,,,,,,
E05001413,Leeds,Ardsley & Robin Hood,"17,255","5,208",30.2,"5,189",30.1,"5,368",31.1,,3,,16,,19,2903,7,10,2920,,1932,11,2,5,10,,13,947,2920,1814,10,32,1772,42,,,,,,,,,,,,,,,,,,,,,,,,,
E05001414,Leeds,Armley,"17,039","5,204",30.5,"5,180",30.4,"5,326",31.3,,2,,22,,24,2041,1,5,2047,,1457,8,1,,5,,12,564,2047,1362,7,20,1335,27,,,,,,,,,,,,,,,,,,,,,,,,,
E05001415,Leeds,Beeston & Holbeck,"14,919","4,285",28.7,"4,265",28.6,"4,401",29.5,,7,,13,,20,1969,1,7,1977,,1360,8,1,,7,,10,591,1977,1279,10,25,1244,35,,,,,,,,,,,,,,,,,,,,,,,,,
E05001416,Leeds,Bramley & Stanningley,"15,895","4,765",30.0,"4,755",29.9,"4,876",30.7,,1,,9,,10,2276,,9,2285,,1575,12,,,9,,12,677,2285,1491,9,18,1464,27,,,,,,,,,,,,,,,,,,,,,,,,,
E05001417,Leeds,Burmantofts & Richmond Hill,"15,254","4,347",28.5,"4,331",28.4,"4,496",29.5,,7,,9,,16,2263,3,8,2274,,1585,7,3,,8,,10,661,2274,1469,7,26,1436,33,,,,,,,,,,,,,,,,,,,,,,,,,
E05001418,Leeds,Calverley & Farsley,"17,642","7,013",39.8,"6,991",39.6,"7,178",40.7,,8,,14,,22,3487,3,11,3501,,2539,7,3,,11,,12,929,3501,2401,6,21,2374,27,,,,,,,,,,,,,,,,,,,,,,,,,
E05001419,Leeds,Chapel Allerton,"17,512","6,057",34.6,"6,010",34.3,"6,197",35.4,,17,,30,,47,2135,4,6,2145,,1463,8,1,3,6,,9,655,2145,1356,12,21,1323,33,,,,,,,,,,,,,,,,,,,,,,,,,
E05001420,Leeds,City & Hunslet,"21,764","4,971",22.8,"4,952",22.8,"5,109",23.5,,5,,14,,19,2082,3,12,2097,,1291,9,3,,12,,14,768,2097,1190,9,28,1153,37,,,,,,,,,,,,,,,,,,,,,,,,,
E05001421,Leeds,Cross Gates & Whinmoor,"17,360","5,748",33.1,"5,732",33.0,"5,874",33.8,,,,16,,16,2858,1,4,2863,,2047,12,1,,4,,8,791,2863,1955,,34,1921,34,,,,,,,,,,,,,,,,,,,,,,,,,
E05001422,Leeds,Farnley & Wortley,"17,589","5,544",31.5,"5,534",31.5,"5,666",32.2,,1,,9,,10,2359,2,7,2368,,1707,8,1,1,7,,11,633,2368,1613,1,27,1585,28,,,,,,,,,,,,,,,,,,,,,,,,,
E05001423,Leeds,Garforth & Swillington,"16,089","6,194",38.5,"6,134",38.1,"6,306",39.2,,8,19,33,,60,3082,,11,3093,,2242,10,,,11,,8,822,3093,2153,10,13,2130,23,,,,,,,,,,,,,,,,,,,,,,,,,
E05001424,Leeds,Gipton & Harehills,"15,866","5,006",31.6,"4,932",31.1,"5,308",33.5,,17,3,54,,74,3395,10,5,3410,,2301,18,3,7,5,,15,1061,3410,2088,13,76,1999,89,,,,,,,,,,,,,,,,,,,,,,,,,
E05001425,Leeds,Guiseley & Rawdon,"18,303","7,074",38.7,"7,061",38.6,"7,217",39.4,,2,,11,,13,3803,1,16,3820,,2694,20,,1,16,,10,1079,3820,2582,4,27,2551,31,,,,,,,,,,,,,,,,,,,,,,,,,
E05001426,Leeds,Harewood,"14,956","6,282",42.0,"6,258",41.8,"6,403",42.8,,3,2,19,,24,3268,,13,3281,,2356,17,,,13,,22,873,3281,2257,5,17,2235,22,,,,,,,,,,,,,,,,,,,,,,,,,
E05001427,Leeds,Headingley,"11,562","3,482",30.1,"3,452",29.9,"3,528",30.5,,4,,26,,30,705,3,1,709,,538,8,1,2,1,,4,154,708,510,1,17,492,18,,,,,,,,,,,,,,,,,,,,,,,,,
E05001428,Leeds,Horsforth,"17,471","7,142",40.9,"7,123",40.8,"7,219",41.3,,,,19,,19,3496,3,22,3521,,2460,35,,3,22,,18,983,3521,2410,7,20,2383,27,,,,,,,,,,,,,,,,,,,,,,,,,
E05001429,Leeds,Hyde Park & Woodhouse,"15,559","3,873",24.9,"3,853",24.8,"3,956",25.4,,4,5,11,,20,1129,,2,1131,,780,7,,,2,,9,333,1131,711,,14,697,14,,,,,,,,,,,,,,,,,,,,,,,,,
E05001430,Leeds,Killingbeck & Seacroft,"16,116","4,706",29.2,"4,643",28.8,"4,880",30.3,,5,,58,,63,2611,4,3,2618,,1718,29,3,1,3,,20,844,2618,1592,16,32,1544,48,,,,,,,,,,,,,,,,,,,,,,,,,
E05001431,Leeds,Kippax & Methley,"16,078","5,729",35.6,"5,715",35.5,"5,872",36.5,,2,12,,,14,2756,4,12,2772,,1926,25,2,2,12,,20,785,2772,1813,9,21,1783,30,,,,,,,,,,,,,,,,,,,,,,,,,
E05001432,Leeds,Kirkstall,"15,109","5,102",33.8,"5,083",33.6,"5,177",34.3,7,2,,10,,19,2032,6,11,2049,,1482,11,5,1,11,,10,529,2049,1423,7,9,1407,16,,,,,,,,,,,,,,,,,,,,,,,,,
E05001433,Leeds,Middleton Park,"18,547","5,201",28.0,"5,189",28.0,"5,315",28.7,,3,1,8,,12,2367,7,12,2386,,1648,5,2,5,12,,9,705,2386,1558,8,16,1534,24,,,,,,,,,,,,,,,,,,,,,,,,,
E05001434,Leeds,Moortown,"17,129","6,829",39.9,"6,800",39.7,"6,930",40.5,,6,,23,,29,2976,1,5,2982,,2027,9,,1,5,,10,930,2982,1951,6,19,1926,25,,,,,,,,,,,,,,,,,,,,,,,,,
E05001435,Leeds,Morley North,"17,456","6,033",34.6,"6,020",34.5,"6,162",35.3,,,,13,,13,2889,,5,2894,,2027,13,,,5,,6,843,2894,1937,17,22,1898,39,,,,,,,,,,,,,,,,,,,,,,,,,
E05001436,Leeds,Morley South,"16,523","5,276",31.9,"5,265",31.9,"5,382",32.6,,5,,6,,11,2672,3,11,2686,,1861,5,1,2,11,,8,798,2686,1783,4,24,1755,28,,,,,,,,,,,,,,,,,,,,,,,,,
E05001437,Leeds,Otley & Yeadon,"17,339","7,568",43.7,"7,556",43.6,"7,739",44.6,,1,,11,,12,3837,1,9,3847,,2894,8,,1,9,,5,930,3847,2767,12,32,2723,44,,,,,,,,,,,,,,,,,,,,,,,,,
E05001438,Leeds,Pudsey,"16,805","5,949",35.4,"5,918",35.2,"6,076",36.2,,1,,30,,31,3154,2,10,3166,,2208,8,1,1,10,,11,927,3166,2110,6,234,2081,29,,,,,,,,,,,,,,,,,,,,,,,,,
E05001439,Leeds,Rothwell,"15,528","5,596",36.0,"5,552",35.8,"5,750",37.0,,14,,30,,44,2573,3,5,2581,,1859,8,1,2,5,,6,700,2581,1729,6,18,1705,24,,,,,,,,,,,,,,,,,,,,,,,,,
E05001440,Leeds,Roundhay,"16,940","6,939",41.0,"6,885",40.6,"7,154",42.2,,7,,47,,54,3202,3,10,3215,,2247,12,3,,10,,11,932,3215,2084,3,49,2032,52,,,,,,,,,,,,,,,,,,,,,,,,,
E05001441,Leeds,Temple Newsam,"16,275","5,758",35.4,"5,736",35.2,"5,819",35.8,,7,5,10,,22,2787,3,9,2799,,1877,8,,3,9,,6,896,2799,1852,10,26,1816,36,,,,,,,,,,,,,,,,,,,,,,,,,
