ONS ward no,Local Authority,Ward,GENERAL,,,,,,,SPOILT PAPERS,,,,,,POSTAL VOTES,,,,,,,,,,,,,,,,,,,AUTHORITY DATA,,,,,,,,,,,,,,,,,,,,,,,,
,,,Electorate ,Total votes cast,Ballot box Turnout,Total valid votes cast ,valid vote turnout ,Ballots returned including rejected PVs,Total participation turnout,Want of Official Mark,Voting for more candidates,Writing/mark by which voter could be identified,Unmarked or wholly void for uncertainty,Rejected in part,Total number of ballot papers rejected at the count ,Number of postal ballot papers issued,"Total number of ballot papers issued under regulations 77, 78 & 78A",Total number of ballot papers cancelled under 86A,Total number of postal ballot papers issued A1 to A3,Total number of Ballot papers cancelled under Para 78A,Total number of covering envelopes received by RO before the close of poll ,Number of covering envelopes received after close of poll,Number of postal ballot s returned spoilt for cancellation in time for re-issue,Number of postal ballots lost or not received in time for a re-issue,Number of ballot papers cancelled and retrieved in time for re-issue,Number of ballot papers returned as spoilt too late for re-issue,Number of covering envelopes returned by post as undelivered ,Number of covering envelopes NOT received by the Returning Officer by 25th Day,TOTAL numbers B6 to B13,Number of covering envelopes set aside for verification,Number of postal voting statements rejected following verification -not completed,Number of postal voting statements rejected following verification -personal identifier match,Number of postal votes included in the count,TOTAL marked 'REJECTED',How many people tried to register after the close of registration etc?,How many people tried to vote on polling day and were unregistered?,Number of electors who appointed a proxy to vote on their behalf,Emergency proxies issued,How many waivers were granted for this election?,What was your issue date for postal votes sent overseas?,What was your delivery date for postal votes sent to UK electors?,Number of covering envelopes returned on polling day in time for the count,How many covering envelopes returned on the day after polling day by 10pm?,Did you carry out a sweep?,PV statement rejected (No signature) ,PV statement rejected (No DoB),PV statement rejected (Both),PV statement rejected (Mismatched signature) ,PV statement rejected (Mismatched DoB),PV statement rejected (Mismatched both),Ballot paper not returned,Postal voting statement unreturned,Who is your electoral management software supplier?,Which software system do you use for postal vote verification?,What was the total number of polling stations used?,,,,
E05000149,Croydon,Broad Green,12460,4364,35.0,4316,34.6,4398,35.3,24,24,0,0,0,48,1638,1,,1639,,1049,12,1,,,,13,564,1639,1049,7,15,1015,34,,,,,,,,,,,,,,,,,,,,,,,,,
E05000150,Croydon,Coulsdon East,9601,4374,45.6,4373,45.5,4409,45.9,0,1,0,0,0,1,1746,,,1746,,1261,11,,,,,7,467,1746,1261,9,9,1226,35,,,,,,,,,,,,,,,,,,,,,,,,,
E05000151,Croydon,Coulsdon West,10374,4006,38.6,3985,38.4,4047,39.0,0,0,0,21,0,21,1883,,,1883,,1309,9,,,,,12,553,1883,1309,5,17,1268,41,,,,,,,,,,,,,,,,,,,,,,,,,
E05000152,Croydon,Croham,11318,4654,41.1,4639,41.0,4677,41.3,0,0,0,15,0,15,1835,1,,1836,,1236,9,,1,,,14,576,1836,1236,8,7,1213,23,,,,,,,,,,,,,,,,,,,,,,,,,
E05000153,Croydon,Fairfield,12275,4725,38.5,4693,38.2,4769,38.9,10,5,0,17,0,32,2226,5,,2231,,1525,16,1,4,,1,25,659,2231,1525,16,16,1481,44,,,,,,,,,,,,,,,,,,,,,,,,,
E05000154,Croydon,Fieldway,7182,2372,33.0,2344,32.6,2400,33.4,10,6,0,12,0,28,1023,,,1023,,717,8,,,,,10,288,1023,717,3,16,689,28,,,,,,,,,,,,,,,,,,,,,,,,,
E05000155,Croydon,Heathfield,10160,4269,42.0,4262,41.9,4305,42.4,4,3,0,0,0,7,1663,1,,1664,,1173,6,,1,,,13,471,1664,1173,7,11,1137,37,,,,,,,,,,,,,,,,,,,,,,,,,
E05000156,Croydon,Kenley,10969,4335,39.5,4305,39.2,4369,39.8,0,0,0,30,0,30,2083,1,,2084,,1430,7,,1,,,13,633,2084,1430,10,9,1396,34,,,,,,,,,,,,,,,,,,,,,,,,,
E05000157,Croydon,New Addington,7471,2915,39.0,2901,38.8,2946,39.4,0,8,0,6,0,14,1101,1,,1102,,800,7,,1,,,8,286,1102,800,7,6,769,31,,,,,,,,,,,,,,,,,,,,,,,,,
E05000158,Croydon,Norbury,11767,4182,35.5,4140,35.2,4222,35.9,0,15,0,27,0,42,1580,3,,1583,,1076,20,2,1,,,11,473,1583,1076,9,16,1036,40,,,,,,,,,,,,,,,,,,,,,,,,,
E05000159,Croydon,Purley,10925,4255,38.9,4234,38.8,4295,39.3,0,6,0,15,0,21,2039,,,2039,,1342,19,,,,,17,661,2039,1342,12,11,1302,40,,,,,,,,,,,,,,,,,,,,,,,,,
E05000160,Croydon,Sanderstead,9808,4396,44.8,4396,44.8,4427,45.1,0,0,0,0,0,0,1742,2,,1744,,1203,14,2,,,,6,519,1744,1203,9,9,1172,31,,,,,,,,,,,,,,,,,,,,,,,,,
E05000161,Croydon,Selhurst,11973,3705,30.9,3660,30.6,3745,31.3,27,18,0,0,0,45,1561,3,,1564,,992,22,3,,,,14,533,1564,992,11,13,952,40,,,,,,,,,,,,,,,,,,,,,,,,,
E05000162,Croydon,Selsdon & Ballards,9504,4437,46.7,4419,46.5,4470,47.0,12,6,0,0,0,18,1639,,,1639,,1215,10,,,,,6,408,1639,1215,7,14,1182,33,,,,,,,,,,,,,,,,,,,,,,,,,
E05000163,Croydon,Shirley,10909,4806,44.1,4755,43.6,4844,44.4,33,18,0,0,0,51,1931,,,1931,,1407,22,,,,,14,488,1931,1407,6,13,1369,38,,,,,,,,,,,,,,,,,,,,,,,,,
E05000164,Croydon,South Norwood,11892,4335,36.5,4284,36.0,4370,36.7,0,15,0,36,0,51,1627,2,,1629,,1107,18,2,,,,23,479,1629,1107,9,11,1072,35,,,,,,,,,,,,,,,,,,,,,,,,,
E05000165,Croydon,Thornton Heath,11192,3684,32.9,3648,32.6,3723,33.3,0,12,0,24,0,36,1260,1,,1261,,828,23,1,,,,22,387,1261,828,6,9,789,24,,,,,,,,,,,,,,,,,,,,,,,,,
E05000166,Croydon,Upper Norwood,11563,4106,35.5,4085,35.3,4157,36.0,10,7,0,4,0,21,1741,1,,1742,,1166,20,,1,,,15,540,1742,1166,8,22,1115,51,,,,,,,,,,,,,,,,,,,,,,,,,
E05000167,Croydon,Waddon,12024,4939,41.1,4870,40.5,4988,41.5,0,27,0,42,0,69,2124,3,,2127,,1537,20,,3,,,18,549,2127,1537,11,16,1488,49,,,,,,,,,,,,,,,,,,,,,,,,,
E05000168,Croydon,WEST THORNTON,11696,3943,33.7,3889,33.3,3988,34.1,0,21,0,33,0,54,1624,2,,1626,,1140,27,1,1,,,22,435,1626,1140,6,13,1095,45,,,,,,,,,,,,,,,,,,,,,,,,,
E05000169,Croydon,Woodside,11275,3865,34.3,3855,34.2,3899,34.6,0,4,0,6,0,10,1452,2,,1454,,963,17,,2,,,15,491,1488,963,5,8,929,34,,,,,,,,,,,,,,,,,,,,,,,,,
E05000170,Ealing,Acton Central,10241,3918,38.3,3899,38.1,3939,38.5,0,3,0,16,,19,965,8,0,973,9,627,12,0,8,9,0,1,316,973,627,1,20,606,21,195,22,305,0,49,08/05/2014,10/05/2014,1100,210,No,,,,,,,,542,Halarose,Avantguard,N/A,,,,
E05000171,Ealing,Cleveland,10460,4154,39.7,4115,39.3,4175,39.9,0,6,0,33,,39,979,9,0,988,9,662,0,9,0,9,0,0,308,988,662,3,19,641,21,,,,,,,,,,,,,,,,,,,,,,,,,
E05000172,Ealing,Dormers Wells,9909,4137,41.7,4102,41.4,4186,42.2,0,12,0,23,,35,953,8,0,961,8,582,8,8,0,8,0,1,354,961,582,3,46,533,49,,,,,,,,,,,,,,,,,,,,,,,,,
E05000173,Ealing,Ealing Broadway,10390,4003,38.5,3980,38.3,4020,38.7,0,6,0,17,,23,1124,16,0,1140,17,790,28,0,16,17,0,3,286,1140,790,1,16,773,17,,,,,,,,,,,,,,,,,,,,,,,,,
E05000174,Ealing,Ealing Common,10208,4093,40.1,4077,39.9,4102,40.2,0,4,0,12,,16,1140,22,0,1162,23,789,15,0,22,23,0,0,313,1162,789,1,8,780,9,,,,,,,,,,,,,,,,,,,,,,,,,
E05000175,Ealing,East Acton,12502,4117,32.9,4091,32.7,4141,33.1,0,7,0,19,,26,1086,12,0,1098,12,704,9,12,0,12,0,9,352,1098,704,0,24,680,24,,,,,,,,,,,,,,,,,,,,,,,,,
E05000176,Ealing,Elthorne,10786,4508,41.8,4494,41.7,4528,42.0,0,6,0,8,,14,920,9,0,929,12,601,12,0,9,12,0,0,295,929,601,2,18,581,20,,,,,,,,,,,,,,,,,,,,,,,,,
E05000177,Ealing,Greenford Broadway,12001,4375,36.5,4338,36.1,4399,36.7,0,6,0,31,,37,944,11,0,955,12,603,0,0,11,12,0,0,329,955,603,2,22,579,24,,,,,,,,,,,,,,,,,,,,,,,,,
E05000178,Ealing,Greenford Green,10497,4257,40.6,4224,40.2,4272,40.7,0,3,11,19,,33,885,9,0,894,12,599,12,0,9,12,0,0,262,894,599,1,14,584,15,,,,,,,,,,,,,,,,,,,,,,,,,
E05000179,Ealing,Hanger Hill,10236,3676,35.9,3645,35.6,3694,36.1,0,4,0,27,0,31,1175,14,0,1189,15,749,34,0,14,15,0,0,377,1189,749,0,18,731,18,,,,,,,,,,,,,,,,,,,,,,,,,
E05000180,Ealing,Hobbayne,10227,4846,47.4,4809,47.0,4861,47.5,0,6,0,31,0,37,955,16,0,971,17,667,28,0,16,16,0,0,244,971,667,0,15,652,15,,,,,,,,,,,,,,,,,,,,,,,,,
E05000181,Ealing,Lady Margaret,10461,4588,43.9,4574,43.7,4629,44.3,0,9,0,5,0,14,922,6,0,928,7,651,9,0,6,7,0,0,255,928,651,0,41,610,41,,,,,,,,,,,,,,,,,,,,,,,,,
E05000183,Ealing,North Greenford,10684,4388,41.1,4345,40.7,4404,41.2,0,12,0,31,0,43,895,21,0,916,21,602,32,0,21,21,0,0,240,916,602,0,16,586,16,,,,,,,,,,,,,,,,,,,,,,,,,
E05000182,Ealing,Northfield,9828,4418,45.0,4406,44.8,4435,45.1,0,4,0,8,0,12,982,13,0,995,14,698,14,0,13,13,0,0,256,994,698,1,16,681,17,,,,,,,,,,,,,,,,,,,,,,,,,
E05000184,Ealing,Northolt Mandeville,10616,4401,41.5,4377,41.2,4442,41.8,0,3,0,21,0,24,1059,9,0,1068,9,734,7,0,9,9,0,0,309,1068,734,1,40,693,41,,,,,,,,,,,,,,,,,,,,,,,,,
E05000185,Ealing,Northolt West End,10374,3937,38.0,3922,37.8,3956,38.1,0,4,0,11,0,15,814,8,0,822,10,555,10,0,8,10,0,0,239,822,555,3,16,536,19,,,,,,,,,,,,,,,,,,,,,,,,,
E05000186,Ealing,Norwood Green,9751,3905,40.0,3884,39.8,3933,40.3,0,9,0,12,0,21,870,4,0,874,4,561,7,0,5,4,0,0,297,874,561,1,27,533,28,,,,,,,,,,,,,,,,,,,,,,,,,
E05000187,Ealing,Perivale,11262,4907,43.6,4885,43.4,4938,43.8,3,4,0,15,0,22,1273,18,0,1291,18,881,18,0,18,18,0,0,356,1291,881,1,30,850,31,,,,,,,,,,,,,,,,,,,,,,,,,
E05000188,Ealing,South Acton,10204,3936,38.6,3915,38.4,3952,38.7,0,1,10,10,0,21,966,16,0,982,17,613,28,0,16,0,0,0,325,982,613,2,14,597,16,,,,,,,,,,,,,,,,,,,,,,,,,
E05000189,Ealing,Southall Broadway,10321,5422,52.5,5391,52.2,5463,52.9,0,13,0,18,0,31,1170,3,0,1173,3,805,3,0,3,3,0,0,299,1113,805,3,38,764,41,,,,,,,,,,,,,,,,,,,,,,,,,
E05000190,Ealing,Southall Green,10881,4882,44.9,4840,44.5,4916,45.2,0,14,0,28,0,42,984,14,0,998,14,626,14,0,14,14,0,0,320,988,626,2,32,592,34,,,,,,,,,,,,,,,,,,,,,,,,,
E05000191,Ealing,Southfield,10015,4231,42.2,4217,42.1,4245,42.4,0,1,0,13,0,14,1238,9,0,1247,9,850,9,0,9,9,0,0,370,1247,836,1,12,836,14,,,,,,,,,,,,,,,,,,,,,,,,,
E05000192,Ealing,Walpole,9856,4426,44.9,4416,44.8,4437,45.0,0,0,0,10,0,10,887,15,0,902,15,609,26,0,15,15,0,1,236,902,609,0,11,598,11,,,,,,,,,,,,,,,,,,,,,,,,,
E05000193,Enfield,Bowes,9362,3577,38.2,3556,38.0,3585,38.3,0,4,0,17,0,21,1001,0,0,1001,7,767,40,0,0,0,0,1,193,1001,767,4,10,759,8,28,31,187,5,64,08/05/2014,09/05/2014,398,0,No,56,29,106,65,132,51,0,0,Xpress,Xpress,110,,,,
E05000194,Enfield,Bush Hill Park,10555,3992,37.8,3974,37.6,3995,37.8,0,4,0,14,0,18,1171,2,0,1173,7,761,31,1,1,0,0,2,377,1173,761,12,12,758,3,,,,,,,,,,,,,,,,,,,,,,,,,
E05000195,Enfield,Chase,9642,4115,42.7,4113,42.7,4118,42.7,0,2,0,0,0,2,1128,1,0,1129,6,807,26,0,1,0,0,1,295,1130,807,8,6,804,3,,,,,,,,,,,,,,,,,,,,,,,,,
E05000196,Enfield,Cockfosters,10220,3555,34.8,3543,34.7,3566,34.9,0,4,6,2,0,12,1326,0,0,1326,2,821,21,0,0,0,0,0,485,1327,821,10,9,810,11,,,,,,,,,,,,,,,,,,,,,,,,,
E05000197,Enfield,Edmonton Green,10308,3706,36.0,3665,35.6,3715,36.0,0,5,0,36,0,41,924,0,0,924,1,580,33,0,0,0,0,3,309,925,580,10,10,571,9,,,,,,,,,,,,,,,,,,,,,,,,,
E05000198,Enfield,Enfield Highway,10343,3514,34.0,3497,33.8,3519,34.0,0,5,1,11,0,17,1067,1,0,1068,5,682,37,0,1,0,0,2,346,1068,682,13,17,677,5,,,,,,,,,,,,,,,,,,,,,,,,,
E05000199,Enfield,Enfield Lock,10361,3910,37.7,3902,37.7,3915,37.8,0,3,0,5,0,8,1109,1,0,1110,2,765,29,0,1,0,0,3,312,1110,765,11,14,760,5,,,,,,,,,,,,,,,,,,,,,,,,,
E05000200,Enfield,Grange,10057,4095,40.7,4076,40.5,4098,40.7,0,5,0,14,0,19,1146,2,0,1148,3,775,35,0,2,0,0,1,335,1148,775,7,11,772,3,,,,,,,,,,,,,,,,,,,,,,,,,
E05000201,Enfield,Haselbury,9910,3641,36.7,3625,36.6,3655,36.9,5,2,0,9,0,16,818,0,0,818,2,547,16,0,0,0,0,2,253,818,547,19,15,533,14,,,,,,,,,,,,,,,,,,,,,,,,,
E05000202,Enfield,Highlands,10240,4142,40.5,4134,40.4,4156,40.6,0,1,0,7,0,8,1387,3,0,1390,7,965,23,0,3,0,0,2,397,1390,965,12,9,951,14,,,,,,,,,,,,,,,,,,,,,,,,,
E05000203,Enfield,Jubilee,9147,3502,38.3,3487,38.1,3506,38.3,0,5,0,10,0,15,877,0,0,877,1,593,52,0,0,0,0,1,231,877,593,6,17,589,7,,,,,,,,,,,,,,,,,,,,,,,,,
E05000204,Enfield,Lower Edmonton,9630,3439,35.7,3411,35.4,3441,35.7,0,8,0,20,0,28,734,0,0,734,0,487,13,0,0,0,0,4,230,734,487,10,7,485,2,,,,,,,,,,,,,,,,,,,,,,,,,
E05000205,Enfield,Palmers Green,10344,3956,38.2,3955,38.2,3964,38.3,0,1,0,0,0,1,936,0,0,936,3,631,17,0,0,0,0,1,287,936,631,8,10,623,9,,,,,,,,,,,,,,,,,,,,,,,,,
E05000206,Enfield,Ponders End,9316,3375,36.2,3371,36.2,3381,36.3,0,4,0,0,0,4,851,2,0,853,5,536,36,0,2,0,0,2,279,855,536,6,11,530,6,,,,,,,,,,,,,,,,,,,,,,,,,
E05000207,Enfield,Southbury,9705,3808,39.2,3803,39.2,3823,39.4,0,4,0,1,0,5,1066,0,0,1066,0,682,43,0,0,0,0,7,334,1066,682,14,10,667,15,,,,,,,,,,,,,,,,,,,,,,,,,
E05000208,Enfield,Southgate,10302,3794,36.8,3761,36.5,3803,36.9,0,4,0,29,0,33,1280,1,0,1281,6,786,20,0,1,0,0,2,472,1281,786,8,8,777,9,,,,,,,,,,,,,,,,,,,,,,,,,
E05000209,Enfield,Southgate Green,9865,4104,41.6,4095,41.5,4109,41.7,0,2,0,7,0,9,1184,0,0,1184,1,782,33,0,0,0,0,1,368,1184,782,8,6,777,5,,,,,,,,,,,,,,,,,,,,,,,,,
E05000210,Enfield,Town,11111,4876,43.9,4863,43.8,4882,43.9,0,2,0,11,0,13,1300,10,0,1310,14,903,37,0,10,0,0,1,359,1310,903,4,12,897,6,,,,,,,,,,,,,,,,,,,,,,,,,
E05000211,Enfield,Turkey Street,9366,3613,38.6,3613,38.6,3618,38.6,0,0,0,0,0,0,1181,0,0,1181,2,782,39,0,0,0,0,7,354,1182,782,8,13,777,5,,,,,,,,,,,,,,,,,,,,,,,,,
E05000212,Enfield,Upper Edmonton,10421,3709,35.6,3701,35.5,3722,35.7,0,7,1,0,0,8,864,0,0,864,0,548,28,0,0,0,0,2,285,863,548,11,27,535,13,,,,,,,,,,,,,,,,,,,,,,,,,
E05000213,Enfield,Winchmore Hill,9769,3745,38.3,3732,38.2,3752,38.4,0,0,0,13,0,13,1039,2,0,1041,5,637,18,0,2,0,0,3,382,1042,637,2,14,630,7,,,,,,,,,,,,,,,,,,,,,,,,,
E05000214,Greenwich,Abbey Wood,10588,3582,33.8,3571,33.7,3646,34.4,,5,1,5,,11,1180,2,,1182,5,838,19,,2,,,3,320,1182,838,38,26,774,64,224,4,212,3,72,25/04/2014,25/04-12/05/2014,884,139,no,30,8,19,179,34,67,87,Halarose,AvantGuard,122,,,,,
E05000215,Greenwich,Blackheath Westcombe,9711,4631,47.7,4600,47.4,4660,48.0,,3,,28,,31,1461,7,,1468,8,1024,7,,7,,,2,428,1468,1024,11,18,995,29,,,,,,,,,,,,,,,,,,,,,,,,,
E05000216,Greenwich,Charlton,10061,3805,37.8,3792,37.7,3836,38.1,,2,,11,,13,1165,4,,1169,1,777,18,,4,,,5,365,1169,777,15,16,746,31,,,,,,,,,,,,,,,,,,,,,,,,,
E05000217,Greenwich,Coldharbour & New Eltham,9747,3947,40.5,3939,40.4,3972,40.8,,1,,7,,8,1518,1,,1519,5,1120,14,,1,,,,384,1519,1120,11,14,1095,25,,,,,,,,,,,,,,,,,,,,,,,,,
E05000218,Greenwich,Eltham North,9772,4911,50.3,4899,50.1,4924,50.4,,2,,10,,12,1250,3,,1253,2,920,11,,3,,,1,318,1253,920,3,10,907,13,,,,,,,,,,,,,,,,,,,,,,,,,
E05000219,Greenwich,Eltham South,8777,3645,41.5,3643,41.5,3668,41.8,,,,2,,2,1219,,,1219,4,858,13,,,,,4,344,1219,858,11,12,835,23,,,,,,,,,,,,,,,,,,,,,,,,,
E05000220,Greenwich,Eltham West,8090,2821,34.9,2814,34.8,2852,35.3,,,,7,,7,985,1,,986,3,692,7,,1,,,3,283,986,692,4,27,661,31,,,,,,,,,,,,,,,,,,,,,,,,,
E05000221,Greenwich,Glyndon,11059,3514,31.8,3472,31.4,3559,32.2,,5,,37,,42,1236,,,1236,1,823,21,,,,,2,390,1236,823,13,32,778,45,,,,,,,,,,,,,,,,,,,,,,,,,
E05000222,Greenwich,Greenwich West,11925,4531,38.0,4497,37.7,4569,38.3,,,,34,,34,1528,3,,1531,,998,35,,3,,,6,489,1531,998,15,23,960,38,,,,,,,,,,,,,,,,,,,,,,,,,
E05000223,Greenwich,Kidbrooke With Hornfair,10031,3508,35.0,3494,34.8,3556,35.5,,1,,13,,14,1418,2,,1420,6,998,19,,2,,,5,396,1420,998,12,36,950,48,,,,,,,,,,,,,,,,,,,,,,,,,
E05000224,Greenwich,Middle Park & Sutcliffe,9688,3887,40.1,3877,40.0,3921,40.5,,7,,3,,10,1437,,,1437,11,1009,15,,,,,3,410,1437,1009,10,24,975,34,,,,,,,,,,,,,,,,,,,,,,,,,
E05000225,Greenwich,Peninsula,10449,3975,38.0,3960,37.9,4002,38.3,,4,,11,,15,1252,2,,1254,6,819,12,,2,,,,421,1254,819,10,17,792,27,,,,,,,,,,,,,,,,,,,,,,,,,
E05000226,Greenwich,Plumstead,10353,3631,35.1,3614,34.9,3663,35.4,,9,,8,,17,1165,1,,1166,6,800,22,,1,,,4,339,1166,800,9,23,768,32,,,,,,,,,,,,,,,,,,,,,,,,,
E05000227,Greenwich,Shooters Hill,9680,3968,41.0,3955,40.9,3995,41.3,,1,,12,,13,1201,2,,1203,,873,13,1,1,,,4,311,1203,873,9,18,846,27,,,,,,,,,,,,,,,,,,,,,,,,,
E05000228,Greenwich,Thamesmead Moorings,11849,3507,29.6,3454,29.2,3545,29.9,,5,,48,,53,1474,2,,1476,5,958,36,,2,,,6,474,1476,958,22,16,920,38,,,,,,,,,,,,,,,,,,,,,,,,,
E05000229,Greenwich,Woolwich Common,10345,3288,31.8,3274,31.6,3327,32.2,,5,,9,,14,1321,1,,1322,2,830,31,,1,,,32,428,1322,830,11,28,791,39,,,,,,,,,,,,,,,,,,,,,,,,,
E05000230,Greenwich,Woolwich Riverside,12499,3920,31.4,3902,31.2,3958,31.7,,3,,15,,18,1416,4,,1420,7,918,17,,4,,,6,475,1420,918,13,25,880,38,,,,,,,,,,,,,,,,,,,,,,,,,
,Hackney,Brownswood,6226,2473,39.7,2473,39.7,2473,39.7,,,,,,,,,,,,,,,,,,,,,,,,,,n/a,,,,,,,,,,,,,,,,,,,,,,,,
,Hackney,Cazenove,9063,4470,49.3,4470,49.3,4470,49.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hackney,Clissold,9360,4226,45.2,4226,45.2,4226,45.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hackney,Dalston,6306,2237,35.5,2237,35.5,2237,35.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hackney,De Beauvoir,6665,2576,38.7,2576,38.7,2576,38.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hackney,Hackney Central,9028,3353,37.1,3353,37.1,3353,37.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hackney,Hackney Downs,9341,3721,39.8,3721,39.8,3721,39.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hackney,Hackney Wick,9000,2932,32.6,2932,32.6,2932,32.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hackney,Haggerston,9246,3228,34.9,3228,34.9,3228,34.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hackney,Homerton,8658,3181,36.7,3181,36.7,3181,36.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hackney,Hoxton East and Shoreditch,8594,2677,31.2,2677,31.2,2677,31.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hackney,Hoxton West,8959,3007,33.6,3007,33.6,3007,33.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hackney,King's Park,8753,3465,39.6,3465,39.6,3465,39.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hackney,Lea Bridge,9966,3935,39.5,3935,39.5,3935,39.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hackney,London Fields,8700,3462,39.8,3462,39.8,3462,39.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hackney,Shacklewell,6160,2390,38.8,2390,38.8,2390,38.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hackney,Springfield,9605,4370,45.5,4370,45.5,4370,45.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hackney,Stamford Hill West,6005,2281,38.0,2281,38.0,2281,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hackney,Stoke Newington,10080,3689,36.6,3689,36.6,3689,36.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hackney,Victoria,9000,3364,37.4,3364,37.4,3364,37.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hackney,Woodberry Down,6417,2615,40.8,2615,40.8,2615,40.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05000250,Hammersmith & Fulham,Addison,8548,3669,42.9,3621,42.4,3729,43.6,0,6,0,42,0,48,1436,3,0,1439,0,1054,13,0,0,0,0,1,371,1439,1054,20,24,994,60,448,11,73,6,14,09/05/2014,09/05/2014,985,172,No,37,40,28,150,138,36,114,47,Halarose,Avantguard,59,,,,
E05000251,Hammersmith & Fulham,Askew,10014,3701,37.0,3670,36.6,3744,37.4,0,8,1,22,0,31,1018,1,0,1019,0,678,19,0,1,0,0,5,316,1019,678,12,28,635,43,,,,,,,,,,,,,,,,,,,,,,,,,
E05000252,Hammersmith & Fulham,Avonmore & Brook Green,8617,3178,36.9,3153,36.6,3220,37.4,0,3,0,22,0,25,1224,0,0,1224,0,852,16,0,0,0,0,3,353,1224,852,12,21,810,42,,,,,,,,,,,,,,,,,,,,,,,,,
E05000253,Hammersmith & Fulham,COLLEGE PARK & OLD OAK,6261,1987,31.7,1959,31.3,2019,32.2,0,1,0,27,0,28,594,1,0,595,0,433,10,1,0,0,0,1,150,595,433,11,10,401,32,,,,,,,,,,,,,,,,,,,,,,,,,
E05000254,Hammersmith & Fulham,Fulham Broadway,8046,3168,39.4,3126,38.9,3226,40.1,0,6,0,36,0,42,1319,4,0,1323,0,935,16,1,3,0,0,2,366,1323,935,16,31,877,58,,,,,,,,,,,,,,,,,,,,,,,,,
E05000255,Hammersmith & Fulham,Fulham Reach,8476,3537,41.7,3514,41.5,3568,42.1,0,6,1,16,0,23,1161,1,0,1162,0,827,24,1,0,0,0,1,309,1162,827,9,15,796,31,,,,,,,,,,,,,,,,,,,,,,,,,
E05000256,Hammersmith & Fulham,Hammersmith Broadway,8666,3206,37.0,3190,36.8,3232,37.3,0,2,0,14,0,16,1136,0,0,1136,0,800,16,0,0,0,0,0,320,1136,800,7,14,774,26,,,,,,,,,,,,,,,,,,,,,,,,,
E05000257,Hammersmith & Fulham,Munster,8125,2607,32.1,2579,31.7,2630,32.4,0,7,0,21,0,28,932,0,0,932,0,662,8,0,0,0,0,5,257,932,662,5,13,639,23,,,,,,,,,,,,,,,,,,,,,,,,,
E05000258,Hammersmith & Fulham,North End,8258,3254,39.4,3227,39.1,3290,39.8,0,4,1,22,0,27,1166,2,0,1168,0,817,10,0,2,0,0,2,337,1168,817,8,23,781,36,,,,,,,,,,,,,,,,,,,,,,,,,
E05000259,Hammersmith & Fulham,Palace Riverside,5571,2467,44.3,2452,44.0,2495,44.8,0,4,0,11,0,15,1069,2,0,1071,0,787,16,0,2,0,0,7,259,1071,787,9,15,759,28,,,,,,,,,,,,,,,,,,,,,,,,,
E05000260,Hammersmith & Fulham,Parsons Green & Walham,7790,2764,35.5,2724,35.0,2783,35.7,0,3,0,37,0,40,1225,0,0,1225,0,844,13,0,0,0,0,4,364,1225,844,4,12,825,19,,,,,,,,,,,,,,,,,,,,,,,,,
E05000261,Hammersmith & Fulham,Ravenscourt Park,7609,3751,49.3,3739,49.1,3801,50.0,0,5,0,7,0,12,1372,2,0,1374,0,978,15,0,2,0,0,4,375,1374,978,8,35,928,50,,,,,,,,,,,,,,,,,,,,,,,,,
