"","X.1","X","name","N","V","NP","VP","Region"
"39",39,39,"Kirkcaldy",60079,28002,9654,6805,"Mid Scotland and Fife"
"34",34,34,"Linlithgow",65025,34322,9598,7111,"Lothian"
"13",13,13,"Maryhill and Springburn",56622,20654,5550,3448,"Glasgow"
"40",40,40,"Mid Fife and Glenrothes",53701,26439,7531,5394,"Mid Scotland and Fife"
"35",35,35,"Midlothian North and Musselburgh",58264,29941,8831,6365,"Lothian"
"63",63,63,"Midlothian South, Tweeddale, and Lauderdale",57781,31965,6772,5193,"South Scotland"
"22",22,22,"Moray",56215,28703,9262,6993,"Highlands and Islands"
"8",8,8,"Motherwell and Wishaw",53610,24536,5007,3426,"Central Scotland"
"23",23,23,"Na h-Eileanan an Iar",21833,13093,3297,2517,"Highlands and Islands"
"41",41,41,"North East Fife",58858,29861,7887,5723,"Mid Scotland and Fife"
"24",24,24,"Orkney",16406,8178,2043,1634,"Highlands and Islands"
"70",70,70,"Paisley",52066,25648,10064,6392,"West Scotland"
"42",42,42,"Perthshire North",53412,30075,7718,5959,"Mid Scotland and Fife"
"43",43,43,"Perthshire South and Kinross-shire",58093,31338,8011,6214,"Mid Scotland and Fife"
"14",14,14,"Pollok",58429,23083,5480,3672,"Glasgow"
"15",15,15,"Provan",55138,19321,5335,3292,"Glasgow"
"71",71,71,"Renfrewshire North and West",49060,27581,8410,5653,"West Scotland"
"72",72,72,"Renfrewshire South",50221,27019,7963,5283,"West Scotland"
"18",18,18,"Rutherglen",57777,27195,6574,4578,"Glasgow"
"25",25,25,"Shetland",17505,9417,2046,1660,"Highlands and Islands"
"16",16,16,"Shettleston",55874,21303,4768,3157,"Glasgow"
"26",26,26,"Skye, Lochaber and Badenoch",57028,32103,7814,5757,"Highlands and Islands"
"17",17,17,"Southside",52325,22827,5071,3327,"Glasgow"
"44",44,44,"Stirling",52185,30535,6061,4743,"Mid Scotland and Fife"
"73",73,73,"Strathkelvin and Bearsden",59323,33882,7621,5852,"West Scotland"
"9",9,9,"Uddingston and Bellshill",55584,25096,5018,3289,"Central Scotland"
