Ward,Council,N,V,Lab1,Lab2,Lab3,SNP1,SNP2,SNP3,Con1,Con2,Con3,LD1,LD2,LD3
Penicuik,Midlothian,10693,4769,1363,0,0,1427,706,0,474,0,0,562,0,0
Bonnyrigg,Midlothian,12007,5132,1574,525,0,1257,358,0,365,0,0,0,0,0
Dalkeith,Midlothian,8678,3230,1021,604,0,803,410,0,184,0,0,133,0,0
Midlothian West,Midlothian,10714,4335,776,762,0,930,789,0,462,0,0,246,0,0
Midlothian East,Midlothian,10409,4147,1003,475,0,1372,405,0,379,0,0,0,0,0
Midlothian South,Midlothian,9288,3626,1305,559,0,786,693,0,283,0,0,0,0,0
