Ward,Council,N,V,Lab1,Lab2,Lab3,SNP1,SNP2,SNP3,Con1,Con2,Con3,LD1,LD2,LD3
Lomond,West Dunbartonshire,8958,3695,1243,524,0,678,535,0,345,0,0,0,0,0
Leven,West Dunbartonshire,13186,5101,1622,412,0,1036,392,0,237,0,0,0,0,0
Dumbarton,West Dunbartonshire,12620,5486,1678,754,0,988,560,0,227,0,0,0,0,0
Kilpatrick,West Dunbartonshire,9004,3576,1717,400,0,755,285,0,121,0,0,0,0,0
Clydebank Central,West Dunbartonshire,11559,4556,1587,566,0,1201,237,0,92,0,0,0,0,0
Clydebank Waterfront,West Dunbartonshire,11451,4391,1473,521,0,1056,403,0,117,0,0,0,0,0
