     snorm,     snorm,20.000000,20.000000,3.000000,  1.073077,  1.073077,  1.073077,  1.073077,  1.073077,  0.956300,  0.956300,  0.956300,  0.956300,  0.956300
     snorm,     snorm,20.000000,20.000000,1.000000,  1.314569,  1.314569,  1.314569,  1.314569,  1.314569,  0.959600,  0.959600,  0.959600,  0.959600,  0.959600
     snorm,     snorm,20.000000,20.000000,0.333333,  1.857956,  1.857956,  1.857956,  1.857956,  1.857956,  0.956900,  0.956900,  0.956900,  0.956900,  0.956900
     snorm,     snorm,30.000000,20.000000,0.250000,  2.000063,  1.772266,  1.969308,  1.991060,  1.996302,  0.954600,  0.927900,  0.949900,  0.954100,  0.954100
     snorm,     snorm,30.000000,20.000000,0.200000,  2.203606,  1.925154,  2.189262,  2.200252,  2.202182,  0.953700,  0.921500,  0.950400,  0.953100,  0.953100
     snorm,     snorm,30.000000,20.000000,5.000000,  0.865373,  0.990889,  0.876161,  0.867394,  0.866156,  0.958500,  0.980000,  0.960300,  0.958900,  0.958900
     snorm,     snorm,30.000000,20.000000,3.000000,  0.929598,  1.028377,  0.972224,  0.945783,  0.937896,  0.954100,  0.971900,  0.962600,  0.955500,  0.955500
     snorm,     snorm,30.000000,20.000000,0.333333,  1.778317,  1.608360,  1.724777,  1.757555,  1.767016,  0.953000,  0.928900,  0.942300,  0.949800,  0.949800
     snorm,     snorm,30.000000,20.000000,0.500000,  1.516118,  1.419586,  1.452359,  1.479572,  1.492593,  0.960800,  0.947800,  0.951300,  0.956800,  0.956800
     snorm,     snorm,30.000000,20.000000,1.000000,  1.201523,  1.202334,  1.202366,  1.202205,  1.201954,  0.959200,  0.959700,  0.959700,  0.959000,  0.959000
     snorm,     snorm,10.000000,30.000000,0.250000,  2.164264,  2.963705,  2.642039,  2.378178,  2.279285,  0.968800,  0.995000,  0.983800,  0.972700,  0.972700
     snorm,     snorm,10.000000,30.000000,5.000000,  1.437713,  1.016344,  1.373092,  1.416380,  1.426860,  0.954500,  0.868500,  0.931300,  0.948800,  0.948800
     snorm,     snorm,10.000000,30.000000,0.200000,  2.321643,  3.300387,  2.770684,  2.474583,  2.390009,  0.970200,  0.996800,  0.981800,  0.972600,  0.972600
     snorm,     snorm,10.000000,30.000000,3.000000,  1.471962,  1.146173,  1.333317,  1.405419,  1.431870,  0.953100,  0.902400,  0.926100,  0.943500,  0.943500
     snorm,     snorm,10.000000,30.000000,0.500000,  1.826334,  2.176943,  2.137398,  2.057901,  1.998784,  0.965600,  0.988000,  0.984500,  0.974800,  0.974800
     snorm,     snorm,10.000000,30.000000,0.333333,  2.007454,  2.608016,  2.459269,  2.268484,  2.169019,  0.969500,  0.994700,  0.989400,  0.975100,  0.975100
     snorm,     snorm,10.000000,30.000000,1.000000,  1.626389,  1.644045,  1.644531,  1.645161,  1.644259,  0.963500,  0.971500,  0.971300,  0.968800,  0.968800
     snorm,     snorm,20.000000,30.000000,0.500000,  1.422851,  1.521339,  1.495655,  1.468284,  1.453058,  0.958700,  0.970200,  0.967100,  0.962000,  0.962000
