"","Date","Total.Cases","Active.Cases","Deaths","Inactive.Cases","Recoveries","New.Cases","New.Active.Cases","New.Inactive.Cases","New.Deaths","New.Recoveries","Infection.Factor","Mortality.Rate","Activity.Rate"
"71",2020-04-25,148377,127714,20319,20663,344,4913,4100,813,813,0,0.038468766149365,0.983351885011857,0.8607398720826
"72",2020-04-26,152940,131764,20732,21176,444,4563,4050,513,413,100,0.0346300962326584,0.979032867397053,0.861540473388257
"73",2020-04-27,157149,135713,21092,21436,344,4209,3949,260,360,-100,0.0310139780271603,0.983952229893637,0.863594423127096
