"","Date","Total.Cases","Active.Cases","Deaths","Inactive.Cases","Recoveries","New.Cases","New.Active.Cases","New.Inactive.Cases","New.Deaths","New.Recoveries","Infection.Factor","Mortality.Rate"
"52",2020-03-13,80824,12088,3189,68736,65547,11,-1436,1447,13,1434,0.000909993381866314,0.0463949022346369
"53",2020-03-14,80844,10733,3199,70111,66912,20,-1355,1375,10,1365,0.00186341190720209,0.0456276475873971
"54",2020-03-15,80860,9893,3213,70967,67754,16,-840,856,14,842,0.00161730516526837,0.0452745642340806
"55",2020-03-16,80881,8967,3226,71914,68688,21,-926,947,13,934,0.00234192037470726,0.0448591373028896
"56",2020-03-17,80894,8056,3237,72838,69601,13,-911,924,11,913,0.0016137040714995,0.0444410884428458
"57",2020-03-18,80928,7263,3245,73665,70420,34,-793,827,8,819,0.0046812611868374,0.0440507703794204
"58",2020-03-19,80967,6569,3248,74398,71150,39,-694,733,3,730,0.00593697670878368,0.0436570875561171
"59",2020-03-20,81008,6013,3255,74995,71740,41,-556,597,7,590,0.00681855978712789,0.0434028935262351
"60",2020-03-21,81054,5353,3261,75701,72440,46,-660,706,6,700,0.00859331216140482,0.0430773701800505
"61",2020-03-22,81093,5120,3270,75973,72703,39,-233,272,9,263,0.0076171875,0.0430416068866571
"62",2020-03-23,81171,4735,3277,76436,73159,78,-385,463,7,456,0.0164730728616684,0.0428724684703543
"63",2020-03-24,81218,4287,3281,76931,73650,47,-448,495,4,491,0.0109633776533707,0.0426486071934591
"64",2020-03-25,81285,3947,3287,77338,74051,67,-340,407,6,401,0.0169749176589815,0.0425017455843182
"65",2020-03-26,81340,3460,3292,77880,74588,55,-487,542,5,537,0.0158959537572254,0.0422701592193118
"66",2020-03-27,81394,3128,3295,78266,74971,54,-332,386,3,383,0.0172634271099744,0.0421000178877163
"67",2020-03-28,81439,2691,3300,78748,75448,45,-437,482,5,477,0.0167224080267559,0.0419058261797125
"68",2020-03-29,81439,2691,3300,78748,75448,0,0,0,0,0,0,0.0419058261797125
"69",2020-03-30,81518,2161,3305,79357,76052,79,-530,609,5,604,0.036557149467839,0.0416472396890003
"70",2020-03-31,81544,2004,3312,79540,76228,26,-157,183,7,176,0.0129740518962076,0.0416394267035454
"71",2020-04-01,81589,1863,3318,79726,76408,45,-141,186,6,180,0.0241545893719807,0.041617540074756
"72",2020-04-02,81620,1727,3322,79893,76571,31,-136,167,4,163,0.0179502026635785,0.0415806140713204
