"","Date","Total.Cases","Active.Cases","Deaths","Inactive.Cases","Recoveries","New.Cases","New.Active.Cases","New.Inactive.Cases","New.Deaths","New.Recoveries","Infection.Factor","Mortality.Rate","Activity.Rate"
"52",2020-04-06,103375,72865,1810,30510,28700,3252,3026,226,226,0,0.044630481026556,0.0593248115372009,0.704860943168077
"53",2020-04-07,107663,69566,2016,38097,36081,4288,-3299,7587,206,7381,0.0616393065578012,0.0529175525631939,0.646145843976111
"54",2020-04-08,113296,64647,2349,48649,46300,5633,-4919,10552,333,10219,0.087134747165375,0.0482846512775186,0.570602669114532
"55",2020-04-09,118235,63221,2607,55014,52407,4939,-1426,6365,258,6107,0.0781227756599864,0.0473879376158796,0.534706305239565
"56",2020-04-10,122171,65522,2736,56649,53913,3936,2301,1635,129,1506,0.0600714263911358,0.0482974103691151,0.536313855170212
"57",2020-04-11,125452,65181,2871,60271,57400,3281,-341,3622,135,3487,0.0503367545757199,0.0476348492641569,0.519569237636706
"58",2020-04-12,127854,64532,3022,63322,60300,2402,-649,3051,151,2900,0.0372218434265171,0.0477243296168788,0.504731959891752
"59",2020-04-13,130072,62578,3194,67494,64300,2218,-1954,4172,172,4000,0.0354437661798076,0.0473227249829615,0.48110277384833
"60",2020-04-14,132210,60515,3495,71695,68200,2138,-2063,4201,301,3900,0.0353300834503842,0.048748169328405,0.45771878072763
"61",2020-04-15,134753,58349,3804,76404,72600,2543,-2166,4709,309,4400,0.0435825806783321,0.0497879692162714,0.433007057356794
"62",2020-04-16,137698,56646,4288,81052,76764,2945,-1703,4648,484,4164,0.0519895491296826,0.0529043083452598,0.411378524016326
