ONS ward No.,Local Authority,Ward,GENERAL,,,,,,,SPOILT PAPERS,,,,,,POSTAL VOTES,,,,,,,,,,,,,,,,,,,AUTHORITY DATA,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Electorate ,Total votes cast,Ballot box Turnout,Total valid votes cast ,Valid vote turnout ,Ballots returned including rejected PVs,Total participation turnout,Want of Official Mark,Voting for more candidates,Writing/mark by which voter could be identified,Unmarked or wholly void for uncertainty,Rejected in part,Total number of ballot papers rejected at the count ,Number of postal ballot papers issued,"Total number of ballot papers issued under regulations 77, 78 & 78A",Total number of ballot papers cancelled under 86A,Total number of postal ballot papers issued A1 to A3,Total number of Ballot papers cancelled under Para 78A,Total number of covering envelopes received by RO before the close of poll ,Number of covering envelopes received after close of poll,Number of postal ballot s returned spoilt for cancellation in time for re-issue,Number of postal ballots lost or not received in time for a re-issue,Number of ballot papers cancelled and retrieved in time for re-issue,Number of ballot papers returned as spoilt too late for re-issue,Number of covering envelopes returned by post as undelivered ,Number of covering envelopes NOT received by the Returning Officer by 25th Day,TOTAL numbers B6 to B13,Number of covering envelopes set aside for verification,Number of postal voting statements rejected following verification -not completed,Number of postal voting statements rejected following verification -personal identifier match,Number of postal votes included in the count,TOTAL marked 'REJECTED',How many people tried to register after the close of registration etc?,How many people tried to vote on polling day and were unregistered?,Number of electors who appointed a proxy to vote on their behalf ,Emergency proxies issued ,How many waivers were granted for this election?,What was your issue date for postal votes sent overseas?,What was your delivery date for postal votes sent to UK electors?,Number of covering envelopes returned on polling day in time for the count,How many covering envelopes returned on the day after polling day by 10pm?,Did you carry out a sweep?,PV statement rejected (No signature),PV statement rejected (No DoB),PV statement rejected (Both) ,PV statement rejected (Mismatched signature),PV statement rejected (Mismatched DoB),PV statement rejected (Mismatched both),Ballot paper not returned one figure for each authority,Postal voting statement unreturned one figure for each authority,Who is your electoral management software supplier?,Which software system do you use for postal vote verification?,What was the total number of polling stations used?,,,,,,
E05001714,North East Lincolnshire,East Marsh,7253,1777,24.5,1766,24.3,1805,24.9,0,2,0,9,0,11,607,0,0,607,0,398,2,0,0,0,0,2,205,607,398,7,18,370,27,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05001715,North East Lincolnshire,Freshney,7354,1981,26.9,1977,26.9,2014,27.4,0,0,0,4,0,4,880,0,0,880,0,632,10,0,0,0,0,3,235,880,632,3,11,599,17,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05001716,North East Lincolnshire,Haverstoe,8195,3113,38.0,3110,38.0,3152,38.5,0,1,0,2,0,3,1342,0,0,1342,0,977,12,0,0,0,0,4,349,1342,977,13,24,938,41,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05001717,North East Lincolnshire,Heneage,8105,2363,29.2,2353,29.0,2407,29.7,0,4,0,6,0,10,836,0,0,836,0,601,5,0,0,0,0,3,227,836,601,6,19,557,30,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05001718,North East Lincolnshire,Humberston & New Waltham,8812,3126,35.5,3117,35.4,3186,36.2,0,2,0,7,0,9,1386,0,0,1386,0,1022,10,0,0,0,0,3,351,1386,1022,6,21,962,32,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05001719,North East Lincolnshire,Immingham,8606,2868,33.3,2860,33.2,2932,34.1,0,1,0,7,0,8,1199,1,0,1200,0,878,11,1,0,0,0,11,299,1200,878,6,24,814,34,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05001720,North East Lincolnshire,Park,8794,3068,34.9,3061,34.8,3131,35.6,0,2,0,5,0,7,1298,3,0,1301,0,872,11,1,2,0,0,5,410,1301,872,6,33,809,47,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05001721,North East Lincolnshire,Scartho,8360,2932,35.1,2921,34.9,2984,35.7,0,1,0,10,0,11,1223,0,0,1223,0,857,12,0,0,0,0,5,349,1223,857,10,30,805,42,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05001722,North East Lincolnshire,Sidney Sussex,8170,2140,26.2,2138,26.2,2191,26.8,0,1,0,1,0,2,891,0,0,891,0,646,5,0,0,0,0,6,234,891,646,10,27,595,39,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05001723,North East Lincolnshire,South,7961,1946,24.4,1937,24.3,1989,25.0,0,0,0,9,0,9,810,1,0,811,0,573,0,1,0,0,0,2,235,811,573,6,20,530,33,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05001724,North East Lincolnshire,Waltham,5639,2027,36.0,2019,35.8,2055,36.4,0,1,0,7,0,8,871,0,0,871,0,615,2,0,0,0,0,4,250,871,615,3,11,587,21,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05001725,North East Lincolnshire,West Marsh,4904,1180,24.1,1173,23.9,1200,24.5,0,1,0,6,0,7,397,1,0,398,0,278,2,0,1,0,0,2,115,398,278,4,11,258,18,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05001726,North East Lincolnshire,Wolds,5709,2004,35.1,1996,35.0,2033,35.6,0,1,0,7,0,8,800,0,0,800,0,524,5,0,0,0,0,3,268,800,524,5,14,495,24,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05001727,North East Lincolnshire,Yarborough,8472,2284,27.0,2277,26.9,2325,27.4,0,0,0,7,0,7,984,0,0,984,0,666,9,0,0,0,0,6,303,984,666,6,18,625,33,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002170,Peterborough,Bretton North,6874,2210,32.2,2197,32.0,2234,32.5,0,3,0,10,0,13,1026,1,0,1027,2,774,7,0,2,0,0,2,0,25,0,12,12,750,24,172,23,165,5,81,06/05/2014,06/05/2014,471,92,No,46,57,115,449,108,67,0,0,Xpress,Xpress,89,,,,,,
E05002172,Peterborough,Central,7644,3185,41.7,3149,41.2,3460,45.3,0,8,0,28,0,36,1733,11,0,1744,16,1249,20,0,11,0,0,3,437,126,0,16,259,974,275,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002173,Peterborough,Dogsthorpe,6601,2065,31.3,2032,30.8,2107,31.9,26,5,0,2,0,33,915,14,0,929,2,701,7,0,14,0,0,2,187,36,0,17,25,659,42,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002174,Peterborough,East,7777,2664,34.3,2653,34.1,2798,36.0,6,3,1,1,0,11,1377,2,0,1379,7,1056,5,1,1,0,0,0,0,38,0,14,120,922,134,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002175,Peterborough,Eye & Thorney,5032,1936,38.5,1933,38.4,1963,39.0,0,0,0,3,0,3,712,0,0,712,0,521,2,0,0,0,0,8,177,30,0,14,13,494,27,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002176,Peterborough,Fletton,8178,2399,29.3,2390,29.2,2422,29.6,6,3,0,0,0,9,978,0,0,978,2,670,10,0,0,0,0,3,471,36,0,6,17,647,23,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002177,Peterborough,Glinton & Wittering,5223,1886,36.1,1877,35.9,1899,36.4,0,1,0,8,0,9,721,0,0,721,0,481,3,0,0,0,0,8,216,28,0,8,5,468,13,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002178,Peterborough,Newborough,2197,935,42.6,927,42.2,943,42.9,0,3,0,5,0,8,326,0,0,326,1,228,2,0,0,0,0,0,86,6,0,1,7,220,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002179,Peterborough,North,3967,1366,34.4,1357,34.2,1376,34.7,0,1,0,8,0,9,634,0,0,634,1,492,4,0,0,0,0,4,122,16,0,6,4,482,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002181,Peterborough,Orton Longueville,7357,2390,32.5,2385,32.4,2419,32.9,3,2,0,0,0,5,1009,0,0,1009,2,747,8,0,0,0,0,0,228,21,0,12,17,718,29,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002182,Peterborough,Orton Waterville,6642,2584,38.9,2573,38.7,2608,39.3,5,1,0,5,0,11,987,0,0,987,0,722,5,0,0,0,0,1,236,20,0,14,10,698,24,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002183,Peterborough,Orton With Hampton,9712,2515,25.9,2496,25.7,2553,26.3,4,1,0,14,0,19,1335,3,0,1338,4,808,5,0,3,0,0,8,434,43,0,16,22,770,38,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002184,Peterborough,Park,6966,3112,44.7,3091,44.4,3169,45.5,0,5,1,15,0,21,1189,2,0,1191,4,953,11,0,2,0,0,6,198,69,0,12,45,896,57,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002185,Peterborough,Paston,6175,1851,30.0,1836,29.7,1874,30.3,0,0,0,15,0,15,873,0,0,873,3,640,9,0,0,0,0,3,205,27,0,9,14,617,23,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002187,Peterborough,Stanground Central,7685,2421,31.5,2378,30.9,2448,31.9,0,3,0,40,0,43,1037,0,0,1037,2,761,5,0,0,0,0,1,239,22,0,19,8,734,27,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002189,Peterborough,Walton,4339,1537,35.4,1535,35.4,1550,35.7,1,1,0,0,0,2,636,0,0,636,3,520,6,0,0,0,0,2,95,24,0,9,4,507,13,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002190,Peterborough,Werrington North,5816,1903,32.7,1885,32.4,1922,33.0,0,1,0,17,0,18,774,0,0,774,2,529,5,0,0,0,0,3,221,27,0,12,7,510,19,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002191,Peterborough,Werrington South,5351,2423,45.3,2417,45.2,2444,45.7,0,0,0,6,0,6,952,0,0,952,1,782,1,0,0,0,0,4,151,14,0,9,12,761,21,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002192,Peterborough,West,6859,3287,47.9,3266,47.6,3322,48.4,0,5,0,16,0,21,1362,1,0,1363,3,1067,10,0,1,0,0,3,261,84,0,12,23,1032,35,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002078,Plymouth,Budshead,9275,3527,38.0,3515,37.9,3615,39.0,0,5,7,0,0,12,1892,4,0,1896,0,1347,4,0,4,0,0,7,534,1896,1347,12,21,1259,88,448,17,284,5,92,07/05/2014,07/05/2014,22910,45,Yes,23,67,81,123,131,41,516,122,Halarose - Eros,Halarose - AvantGuard,156,,,,,,
E05002079,Plymouth,Compton,8429,3597,42.7,3582,42.5,3645,43.2,0,2,1,12,0,15,1559,3,0,1562,2,1123,5,0,3,0,0,14,417,1562,1123,8,6,1075,48,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002080,Plymouth,Devonport,9686,3245,33.5,3238,33.4,3309,34.2,4,1,0,2,0,7,1705,1,0,1706,0,1135,6,0,1,0,0,14,550,1706,1135,14,20,1071,64,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002081,Plymouth,Drake,6497,1636,25.2,1632,25.1,1664,25.6,0,1,0,3,0,4,574,2,0,576,1,402,4,0,2,0,0,5,163,576,402,5,5,374,28,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002082,Plymouth,Efford & Lipson,9384,3265,34.8,3261,34.8,3314,35.3,3,0,0,1,0,4,1719,3,0,1722,0,1180,1,1,2,0,0,15,523,1722,1180,6,20,1131,49,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002083,Plymouth,Eggbuckland,10217,4236,41.5,4226,41.4,4307,42.2,0,0,0,10,0,10,2273,1,0,2274,3,1631,4,0,1,0,0,8,630,2274,1631,6,18,1560,71,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002084,Plymouth,Ham,9277,3123,33.7,3115,33.6,3197,34.5,3,5,0,0,0,8,1714,3,0,1717,0,1249,11,0,3,0,0,5,449,1717,1249,12,21,1175,74,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002085,Plymouth,Honicknowle,10101,3423,33.9,3408,33.7,3470,34.4,0,4,0,11,0,15,1610,1,0,1611,0,1130,5,0,1,0,0,6,469,1611,1130,5,16,1083,47,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002086,Plymouth,Moor View,9075,3594,39.6,3579,39.4,3659,40.3,0,0,0,15,0,15,1809,6,0,1815,0,1335,0,0,6,0,0,8,466,1815,1335,6,18,1270,65,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002087,Plymouth,Peverell,10018,4445,44.4,4440,44.3,4502,44.9,0,1,0,4,0,5,1857,4,0,1861,2,1297,7,0,4,0,0,13,540,1861,1297,11,12,1240,57,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002088,Plymouth,Plympton Chaddlewood,6181,1954,31.6,1941,31.4,1990,32.2,0,1,0,12,0,13,1045,2,0,1047,0,661,1,0,2,0,0,4,379,1047,661,6,10,625,36,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002090,Plymouth,Plympton St. Mary,10151,4022,39.6,4005,39.5,4060,40.0,0,1,0,16,0,17,1971,0,0,1971,2,1403,2,0,0,0,0,8,558,1971,1403,9,11,1365,38,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002091,Plymouth,Plymstock Dunstone,9554,4000,41.9,3975,41.6,4068,42.6,3,0,0,22,0,25,1841,4,0,1845,0,1384,1,0,4,0,0,7,449,1845,1384,10,16,1316,68,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002092,Plymouth,Plymstock Radford,9660,3912,40.5,3912,40.5,4001,41.4,,,,,,,1955,5,0,1960,0,1417,7,0,5,0,0,15,516,1960,1417,11,22,1328,89,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002095,Plymouth,Southway,9875,3898,39.5,3890,39.4,3954,40.0,0,0,0,8,0,8,2072,2,0,2074,0,1472,2,0,2,0,0,20,578,2074,1472,10,18,1416,56,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002093,Plymouth,St. Budeaux,9625,3172,33.0,3165,32.9,3263,33.9,0,0,0,7,0,7,1758,3,0,1761,0,1278,2,1,2,0,0,8,470,1761,1278,11,18,1187,91,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002094,Plymouth,St. Peter & the Waterfront,9816,3379,34.4,3353,34.2,3457,35.2,0,4,0,22,0,26,1884,2,0,1886,0,1340,8,1,1,0,0,12,524,1886,1340,16,23,1262,78,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002096,Plymouth,Stoke,9076,3626,40.0,3618,39.9,3677,40.5,0,2,0,6,0,8,1727,4,0,1731,1,1156,7,0,4,0,0,15,549,1731,1156,8,10,1105,51,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002097,Plymouth,Sutton & Mount Gould,8718,3145,36.1,3121,35.8,3185,36.5,0,2,0,22,0,24,1361,3,0,1364,0,970,7,0,3,0,0,5,379,1364,970,6,10,930,40,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002441,Portsmouth,Baffins,11289,3874,34.3,3855,34.1,3939,34.9,0,5,0,14,0,19,1432,1,0,1433,0,1108,9,0,1,0,0,3,312,1433,1108,0,4,1043,21,176,N/A,220,3,58,07/05/2014,10/05/2014,905,151,No,3,4,5,49,81,4,15,149,Xpress,Xpress,80,,,,,,
E05002442,Portsmouth,Central Southsea,11237,3455,30.7,3441,30.6,3528,31.4,0,2,1,11,0,14,1097,0,0,1097,0,802,21,0,0,0,0,8,266,1097,802,2,8,729,30,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002443,Portsmouth,Charles Dickens,12275,3006,24.5,2985,24.3,3067,25.0,0,5,0,16,0,21,1276,1,0,1277,0,897,21,0,1,0,0,8,350,1277,897,1,15,836,35,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002444,Portsmouth,Copnor,10051,3289,32.7,3260,32.4,3331,33.1,0,3,0,26,0,29,989,2,0,991,0,676,6,1,1,0,0,0,307,991,676,1,11,634,21,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002445,Portsmouth,Cosham,10425,3745,35.9,3736,35.8,3796,36.4,0,2,0,7,0,9,1470,1,0,1471,0,1111,12,0,1,0,0,7,340,1471,1111,0,10,1060,20,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002446,Portsmouth,Drayton & Farlington,10301,4111,39.9,4087,39.7,4156,40.3,0,3,0,21,0,24,1494,2,0,1496,0,1074,18,2,0,0,0,7,395,1496,1074,1,12,1029,16,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002447,Portsmouth,Eastney & Craneswater,9756,3929,40.3,3913,40.1,3997,41.0,0,2,0,14,0,16,1482,4,0,1486,0,1094,15,0,4,0,0,9,364,1486,1094,0,13,1026,26,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002448,Portsmouth,Fratton,10687,2911,27.2,2893,27.1,2933,27.4,0,3,0,15,0,18,1021,0,0,1021,0,686,10,0,0,0,0,9,319,1021,686,0,3,664,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002449,Portsmouth,Hilsea,10530,3358,31.9,3344,31.8,3420,32.5,0,0,0,14,0,14,1335,0,0,1335,0,941,22,0,0,0,0,4,368,1335,941,1,8,879,18,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002450,Portsmouth,Milton,10830,3651,33.7,3626,33.5,3713,34.3,0,5,0,20,0,25,1192,2,0,1194,0,849,13,1,1,0,0,6,324,1194,849,2,8,787,22,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002451,Portsmouth,Nelson,10428,3044,29.2,3033,29.1,3099,29.7,0,4,0,7,0,11,1096,3,0,1099,0,754,19,1,2,0,0,6,317,1099,754,2,9,699,22,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002452,Portsmouth,Paulsgrove,10298,2755,26.8,2746,26.7,2855,27.7,0,1,0,8,0,9,1281,2,0,1283,0,934,6,2,0,0,0,8,333,1283,934,1,18,834,33,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002453,Portsmouth,St. Jude,9049,3201,35.4,3188,35.2,3302,36.5,0,2,0,11,0,13,1307,2,0,1309,0,881,20,1,1,0,0,9,397,1309,881,0,6,780,17,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002454,Portsmouth,St. Thomas,10149,3466,34.2,3442,33.9,3537,34.9,0,7,0,17,0,24,1360,2,0,1362,0,1035,8,0,2,0,0,17,300,1362,1035,1,9,964,19,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002319,Reading,Abbey,9403,2449,26.0,2439,25.9,2472,26.3,0,2,0,8,0,10,1210,2,0,1212,11,738,9,0,2,0,0,36,416,1212,738,1,22,715,23,933,10,131,,69,06/05/2014,06-13/05/2014,1775,29,yes,25,25,19,122,54,48,,8,Xpress,Xpress,74,,,,,,
E05002320,Reading,Battle,7726,2218,28.7,2200,28.5,2244,29.0,0,3,0,15,0,18,915,3,0,918,3,480,2,0,3,0,0,24,409,918,480,3,23,454,26,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002321,Reading,Caversham,7535,2928,38.9,2920,38.8,2952,39.2,0,1,0,7,0,8,1306,7,0,1313,6,905,3,0,1,0,0,13,391,1313,902,4,17,881,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002322,Reading,Church,8350,2226,26.7,2222,26.6,2249,26.9,0,1,0,3,0,4,1049,6,0,1055,6,689,3,0,0,0,0,6,357,1055,689,5,18,666,23,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002323,Reading,Katesgrove,7147,2051,28.7,2043,28.6,2063,28.9,0,1,0,7,0,8,790,3,0,793,3,484,6,0,0,0,0,5,298,793,484,2,10,472,12,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002324,Reading,Kentwood,7361,2755,37.4,2750,37.4,2772,37.7,0,3,0,2,0,5,1216,11,0,1227,11,761,7,0,0,0,0,21,438,1227,761,7,10,744,17,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002326,Reading,Minster,7497,2470,32.9,2459,32.8,2486,33.2,0,3,0,8,0,11,1225,13,0,1238,12,763,5,0,1,0,0,12,457,1238,763,4,12,747,16,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002327,Reading,Norcot,7431,2435,32.8,2399,32.3,2458,33.1,0,4,11,21,0,36,1211,10,0,1221,10,802,6,0,0,0,0,12,401,1221,802,4,19,779,23,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002328,Reading,Park,7129,3141,44.1,3128,43.9,3161,44.3,0,3,0,10,0,13,871,8,0,879,7,622,4,0,1,0,0,7,345,879,622,5,15,602,20,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002329,Reading,Peppard,7552,3230,42.8,3220,42.6,3241,42.9,0,1,0,9,0,10,1389,4,0,1393,4,993,2,0,0,0,0,5,393,1393,993,4,7,982,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002330,Reading,Redlands,7287,2340,32.1,2328,31.9,2352,32.3,0,2,0,10,0,12,729,9,0,738,9,497,1,0,0,0,0,0,240,738,497,4,8,485,12,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002331,Reading,Southcote,6488,2266,34.9,2235,34.4,2291,35.3,0,6,0,25,0,31,1291,7,0,1298,5,872,3,1,1,0,0,17,404,1298,872,8,17,847,31,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002332,Reading,Thames,7357,3279,44.6,3262,44.3,3293,44.8,0,0,0,17,0,17,1555,6,0,1561,4,1073,6,1,1,0,0,9,471,1561,1059,7,7,1059,16,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002333,Reading,Tilehurst,7162,2729,38.1,2722,38.0,2737,38.2,0,2,0,5,0,7,1116,7,0,1123,6,778,6,0,1,0,0,11,327,1123,778,3,5,770,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002334,Reading,Whitley,8351,2196,26.3,2179,26.1,2222,26.6,0,1,0,16,0,17,1283,5,0,1288,4,830,3,0,1,0,0,22,432,1288,830,6,20,804,26,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Slough,Baylis & Stoke,4135,1625,39.3,1609,38.9,1714,41.4,,8,,8,,16,985,1,,986,2,778,7,,1,,,2,196,986,778,5,62,689,67,15,,113,1,20,08/05/2014,08/05/2014,,136,yes,333,135,42,13,11,3,,,Halarose,Avantguard,45,,,,,,
,Slough,Britwell and Northborough,6693,2373,35.5,2356,35.2,2406,36.0,,6,,11,,17,958,1,,959,,631,8,,1,,,1,371,958,631,,25,598,25,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Slough,Central,7240,2629,36.3,2615,36.1,2718,37.5,,4,,10,,14,949,2,,951,6,722,10,,2,,,3,208,951,722,3,58,633,61,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Slough,Chalvey,7698,2583,33.6,2560,33.3,2655,34.5,,5,,16,2,23,1151,10,,1161,,819,16,2,8,,,,316,1161,819,2,56,747,58,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Slough,Cippenham Green,7142,2563,35.9,2547,35.7,2572,36.0,,2,,14,,16,692,,,692,,466,10,,,,,3,223,692,466,3,12,457,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Slough,Cippenham Meadows,7861,2487,31.6,2470,31.4,2529,32.2,,8,,8,1,17,960,,,960,,653,10,,,,,1,296,960,653,1,35,611,36,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Slough,Colnbrook With Poyle,4445,1594,35.9,1581,35.6,1614,36.3,,6,,7,,13,527,,,527,,359,12,,,,,1,155,527,359,1,17,339,18,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Slough,Elliman,6609,2345,35.5,2318,35.1,2388,36.1,,12,,15,,27,889,1,,890,,649,6,,1,,,3,231,890,649,,40,606,40,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Slough,Farnham,7371,2515,34.1,2505,34.0,2555,34.7,,3,1,6,,10,820,5,,825,,585,11,,5,,,,224,825,585,,27,545,27,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Slough,Foxborough,2514,883,35.1,881,35.0,888,35.3,,,,2,,2,281,,,281,,196,7,,,,,,78,281,196,,3,191,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Slough,Haymill and Lynch Hill,7239,2285,31.6,2268,31.3,2300,31.8,,2,,15,,17,801,2,,803,2,516,5,,2,,,4,274,803,516,1,10,501,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Slough,Langley Kedermister,7153,2395,33.5,2384,33.3,2437,34.1,,3,,8,,11,923,1,,924,,618,13,,1,,,2,290,924,618,,30,576,30,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Slough,Langley St Mary's,7212,2719,37.7,2708,37.5,2754,38.2,,3,,8,,11,876,3,,879,,627,4,,3,,,3,242,879,627,1,21,592,22,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Slough,Upton,6415,2758,43.0,2737,42.7,2807,43.8,,9,,12,,21,1293,2,,1295,,931,9,1,1,,,3,350,1295,931,,32,882,32,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Slough,Wexham Lea,7144,2670,37.4,2660,37.2,2723,38.1,,3,,7,,10,1100,,,1100,,829,8,,,,,3,260,1100,829,2,40,776,42,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002455,Southampton,Bargate,14250,3023,21.2,3006,21.1,3056,21.4,0,5,0,12,0,17,1080,1,0,1081,8,765,4,1,0,1,0,4,306,1081,765,14,9,732,25,63,15,152,15,138,09/05/2014,09/05/2014,1299,60,Yes,96,99,22,56,21,129,15,16,Xpress,Xpress,95,,,,,,
E05002456,Southampton,Bassett,11255,3652,32.4,3630,32.3,3702,32.9,0,0,0,22,0,22,1883,2,0,1885,6,1372,2,0,0,0,0,8,503,1885,1356,15,16,1322,34,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002457,Southampton,Bevois,11284,3046,27.0,3013,26.7,3096,27.4,0,8,0,25,0,33,833,2,0,835,5,596,11,1,1,1,0,8,217,835,572,11,11,546,23,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002458,Southampton,Bitterne,10536,3291,31.2,3277,31.1,3331,31.6,0,2,0,12,0,14,1657,0,0,1657,6,1224,13,0,0,0,0,5,415,1657,1219,14,20,1184,37,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002459,Southampton,Bitterne Park,10929,3791,34.7,3777,34.6,3812,34.9,0,2,0,12,0,14,1537,0,0,1537,8,1077,5,0,0,0,0,7,448,1537,1087,8,18,1056,29,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002460,Southampton,Coxford,10720,3843,35.8,3821,35.6,3872,36.1,0,5,0,17,0,22,1615,0,0,1615,6,1185,8,0,0,0,0,10,412,1615,1190,17,13,1156,31,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002461,Southampton,Freemantle,11322,3820,33.7,3806,33.6,3847,34.0,0,5,0,9,0,14,1539,2,0,1541,7,1116,9,1,1,1,0,4,409,1541,1117,14,21,1089,35,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002462,Southampton,Harefield,10609,3912,36.9,3891,36.7,3949,37.2,0,2,0,19,0,21,1991,1,0,1992,10,1532,4,1,0,1,0,7,447,1992,1528,17,11,1495,30,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002463,Southampton,Millbrook,11334,3890,34.3,3875,34.2,3971,35.0,0,3,2,10,0,15,1713,1,0,1714,9,1304,16,0,1,0,0,7,386,1714,1254,18,13,1223,33,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002464,Southampton,Peartree,10793,3603,33.4,3537,32.8,3647,33.8,0,5,0,61,0,66,1581,2,0,1583,7,1121,7,0,2,0,0,7,446,1583,1099,8,8,1077,17,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002465,Southampton,Portswood,10582,3780,35.7,3758,35.5,3821,36.1,0,1,0,21,0,22,1199,0,0,1199,9,914,10,0,0,0,0,2,273,1199,901,11,16,873,30,,,,,,,,,,,,,,,,,,,,,,,,,,,
