ONS ward No.,Local Authority,Ward,GENERAL,,,,,,,SPOILT PAPERS,,,,,,POSTAL VOTES,,,,,,,,,,,,,,,,,,,AUTHORITY DATA,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Electorate ,Total votes cast,Ballot box Turnout,Total valid votes cast ,Valid vote turnout ,Ballots returned including rejected PVs,Total participation turnout,Want of Official Mark,Voting for more candidates,Writing/mark by which voter could be identified,Unmarked or wholly void for uncertainty,Rejected in part,Total number of ballot papers rejected at the count ,Number of postal ballot papers issued,"Total number of ballot papers issued under regulations 77, 78 & 78A",Total number of ballot papers cancelled under 86A,Total number of postal ballot papers issued A1 to A3,Total number of Ballot papers cancelled under Para 78A,Total number of covering envelopes received by RO before the close of poll ,Number of covering envelopes received after close of poll,Number of postal ballot s returned spoilt for cancellation in time for re-issue,Number of postal ballots lost or not received in time for a re-issue,Number of ballot papers cancelled and retrieved in time for re-issue,Number of ballot papers returned as spoilt too late for re-issue,Number of covering envelopes returned by post as undelivered ,Number of covering envelopes NOT received by the Returning Officer by 25th Day,TOTAL numbers B6 to B13,Number of covering envelopes set aside for verification,Number of postal voting statements rejected following verification -not completed,Number of postal voting statements rejected following verification -personal identifier match,Number of postal votes included in the count,TOTAL marked 'REJECTED',How many people tried to register after the close of registration etc?,How many people tried to vote on polling day and were unregistered?,Number of electors who appointed a proxy to vote on their behalf ,Emergency proxies issued ,How many waivers were granted for this election?,What was your issue date for postal votes sent overseas?,What was your delivery date for postal votes sent to UK electors?,Number of covering envelopes returned on polling day in time for the count,How many covering envelopes returned on the day after polling day by 10pm?,Did you carry out a sweep?,PV statement rejected (No signature),PV statement rejected (No DoB),PV statement rejected (Both) ,PV statement rejected (Mismatched signature),PV statement rejected (Mismatched DoB),PV statement rejected (Mismatched both),Ballot paper not returned one figure for each authority,Postal voting statement unreturned one figure for each authority,Who is your electoral management software supplier?,Which software system do you use for postal vote verification?,What was the total number of polling stations used?,,,,,,
E05001587,Halton,Halton Brook,4817,1444,30.0,1428,29.6,1471,30.5,0,0,0,16,0,16,331,0,0,331,0,252,0,0,0,0,0,0,79,331,252,10,17,225,27,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05001581,Halton,Halton Castle,4585,1456,31.8,1441,31.4,1482,32.3,0,1,0,14,0,15,357,0,0,357,0,287,2,0,0,0,0,0,68,357,287,15,11,261,26,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05001588,Halton,Halton Lea,4592,1377,30.0,1368,29.8,1394,30.4,0,3,0,6,0,9,345,0,0,345,0,253,0,0,0,0,0,0,92,345,253,1,18,236,19,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05001589,Halton,Halton View,5189,1568,30.2,1540,29.7,1593,30.7,0,4,0,24,0,28,365,0,0,365,0,287,2,0,0,0,0,0,76,365,287,18,7,262,25,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05001590,Halton,Heath,4644,1706,36.7,1702,36.7,1722,37.1,0,0,0,4,0,4,389,0,0,389,0,302,0,0,0,0,0,0,87,389,302,11,5,286,16,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05001591,Halton,Hough Green,5259,1577,30.0,1540,29.3,1605,30.5,0,4,0,33,0,37,367,0,0,367,0,280,0,0,0,0,0,1,86,367,280,14,14,252,28,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05001592,Halton,Kingsway,4957,1187,24.0,1173,23.7,1203,24.3,0,3,3,8,0,14,286,0,0,286,0,210,1,0,0,0,0,0,75,286,210,7,9,194,16,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05001593,Halton,Mersey,5322,1466,27.6,1455,27.3,1498,28.2,0,3,0,8,0,11,284,0,0,284,0,208,0,0,0,0,0,1,75,284,208,15,17,176,32,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05001594,Halton,Norton North,5038,1622,32.2,1598,31.7,1632,32.4,0,6,4,14,0,24,444,0,0,444,0,338,0,0,0,0,0,0,106,444,338,0,10,328,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05001595,Halton,Norton South,4696,1302,27.7,1267,27.0,1339,28.5,0,0,0,35,0,35,336,0,0,336,0,249,2,0,0,0,0,1,84,336,249,16,21,212,37,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05008942,Hartlepool,Burn Valley,6339,1673,26.4,1661,26.2,1699,26.8,,5,,7,,12,709,0,0,709,0,501,6,0,0,0,0,2,200,709,501,1,12,475,13,64,9,85,0,77,10/05/2014,13/05/2014,524,51,No,6,3,5,94,59,23,2,97,Xpresss,Xpress,57,,,,,,
E05008943,Hartlepool,De Bruce,5861,1537,26.2,1527,26.1,1577,26.9,,1,2,7,,10,800,1,0,801,1,567,3,1,0,0,0,0,260,801,567,1,15,527,24,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05008944,Hartlepool,Fens & Rossmere,7125,2310,32.4,2299,32.3,2350,33.0,,2,,9,,11,1166,1,0,1167,1,834,10,0,1,0,0,1,321,1167,834,0,20,794,20,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05008945,Hartlepool,Foggy Furze,6576,1793,27.3,1785,27.1,1829,27.8,,,,8,,8,800,0,0,800,0,571,3,0,0,0,0,0,226,800,571,3,27,535,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05008946,Hartlepool,Hart,6657,2036,30.6,2025,30.4,2076,31.2,,2,2,7,,11,1027,0,0,1027,0,654,6,0,0,0,0,0,367,1027,654,1,23,614,16,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05008947,Hartlepool,Headland & Harbour,5779,1489,25.8,1471,25.5,1511,26.1,,,,18,,18,565,1,0,566,1,414,3,0,1,0,0,3,145,566,414,0,7,392,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05008948,Hartlepool,Jesmond,6356,1464,23.0,1457,22.9,1493,23.5,,1,2,4,,7,816,0,0,816,0,593,2,0,0,0,0,2,219,816,593,0,15,564,14,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05008949,Hartlepool,Manor House,7350,1509,20.5,1496,20.4,1533,20.9,,3,,10,,13,822,3,0,825,3,566,2,0,3,0,0,3,251,825,566,2,14,542,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05008950,Hartlepool,Rural West,5889,2016,34.2,2006,34.1,2047,34.8,,,1,9,,10,1093,1,0,1094,1,753,6,0,1,0,0,0,334,1094,753,2,11,722,18,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05008951,Hartlepool,Seaton,6736,1899,28.2,1890,28.1,1933,28.7,,1,,8,,9,984,3,0,987,3,671,0,0,3,0,0,0,313,987,671,3,22,637,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05008952,Hartlepool,Victoria,5908,1478,25.0,1478,25.0,1510,25.6,,,4,18,22,,653,0,0,653,0,472,5,0,0,0,0,1,175,653,472,1,10,440,21,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05001664,Kingston Upon Hull,Avenue,9818,3476,35.4,3437,35.0,3499,35.6,,,,39,,39,608,0,0,608,1,441,8,0,0,0,0,3,,,,0,17,418,23,336,N/A,224,0,141,01/05/2014,13/05/2014,856,N/A,No,0,1,2,146,64,130,0,0,Xpress,Xpress,127,,,,,,
E05001666,Kingston Upon Hull,Boothferry,9610,2934,30.5,2920,30.4,2972,30.9,,,,14,,14,859,1,0,860,4,690,1,0,1,0,0,8,,,,0,12,652,38,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05001667,Kingston Upon Hull,Bransholme East,7110,1293,18.2,1263,17.8,1319,18.6,,7,,23,,30,335,0,0,335,2,241,3,0,0,0,0,5,,,,0,15,215,26,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05001668,Kingston Upon Hull,Bransholme West,6137,1257,20.5,1251,20.4,1270,20.7,,,,6,,6,343,0,0,343,0,260,3,0,0,0,0,3,,,,0,7,247,13,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05001669,Kingston Upon Hull,Bricknell,6525,2443,37.4,2436,37.3,2467,37.8,,1,,6,,7,576,0,0,576,0,436,8,0,0,0,0,1,,,,0,20,412,24,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05001670,Kingston Upon Hull,Derringham,9004,2546,28.3,2534,28.1,2568,28.5,,,,12,,12,742,2,0,744,3,554,11,0,2,0,0,1,,,,2,16,532,22,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05001671,Kingston Upon Hull,Drypool,9702,3107,32.0,3086,31.8,3134,32.3,,9,,12,,21,1238,1,0,1239,4,873,10,0,1,0,0,4,,,,0,21,846,27,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05001672,Kingston Upon Hull,Holderness,10185,3410,33.5,3403,33.4,3445,33.8,,1,1,5,,7,939,3,0,942,5,752,11,0,3,0,0,2,,,,0,25,717,35,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05001673,Kingston Upon Hull,Ings,9448,2655,28.1,2645,28.0,2698,28.6,,1,,9,,10,949,1,0,950,2,718,4,0,1,0,0,5,,,,0,26,675,43,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05001675,Kingston Upon Hull,Longhill,8741,2033,23.3,2032,23.2,2060,23.6,,,,1,,1,557,0,0,557,0,423,2,0,0,0,0,0,,,,1,19,396,27,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05001676,Kingston Upon Hull,Marfleet,9404,2021,21.5,2014,21.4,2046,21.8,,,,4,3,7,409,0,0,409,0,303,4,0,0,0,0,2,,,,0,19,278,25,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05001677,Kingston Upon Hull,Myton,10270,2251,21.9,2242,21.8,2278,22.2,,2,,7,,9,545,2,0,547,3,374,13,0,2,0,0,4,,,,0,15,347,27,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05001678,Kingston Upon Hull,Newington,8198,1618,19.7,1603,19.6,1664,20.3,,2,,13,,15,608,0,0,608,2,423,3,0,0,0,0,5,,,,0,35,377,46,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05001680,Kingston Upon Hull,Orchard Park & Greenwood,9400,2130,22.7,2126,22.6,2155,22.9,,1,1,3,,4,602,0,0,602,1,451,6,0,0,0,0,1,,,,0,22,426,25,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05001681,Kingston Upon Hull,Pickering,9101,2804,30.8,2793,30.7,2849,31.3,,3,,7,,11,1034,1,0,1035,6,736,10,0,1,0,0,5,,,,0,27,691,45,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05001683,Kingston Upon Hull,Southcoates East,5961,1389,23.3,1385,23.2,1396,23.4,,,,4,,4,269,0,0,269,3,197,0,0,0,0,0,2,,,,0,1,190,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05001684,Kingston Upon Hull,Southcoates West,5929,1471,24.8,1465,24.7,1488,25.1,,2,,4,,6,408,1,0,409,1,276,4,0,1,0,0,0,,,,0,11,259,17,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05001682,Kingston Upon Hull,St. Andrews,5850,1262,21.6,1259,21.5,1271,21.7,,1,,2,,3,320,0,0,320,0,226,1,0,0,0,0,1,,,,0,3,217,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05001685,Kingston Upon Hull,Sutton,9610,2879,30.0,2866,29.8,2910,30.3,,,,13,,13,815,1,0,816,3,640,4,0,1,0,0,3,,,,0,18,609,31,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05001686,Kingston Upon Hull,University,7255,1774,24.5,1771,24.4,1792,24.7,,1,,2,,3,550,1,0,551,2,406,4,1,0,0,0,0,,,,0,11,388,18,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Milton Keynes,Bletchley East,9978,3323,33.3,3311,33.2,3420,34.3,0,3,0,9,0,12,2237,2,0,2239,10,1574,6,0,2,0,0,0,657,2239,1574,13,23,1477,97,N/A,N/A,157,0,89,N/A,N/A,N/A,N/A,N/A,0,3,0,88,180,71,0,0,Xpress,Xpress,129,,,,,,
,Milton Keynes,Bletchley Park,11128,4319,38.8,4302,38.7,4389,39.4,0,4,0,13,0,17,2199,4,0,2203,23,1632,10,0,4,0,0,7,550,2203,1632,24,11,1562,70,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Milton Keynes,Bletchley West,11012,3862,35.1,3845,34.9,3910,35.5,0,4,1,12,0,17,2013,2,0,2015,10,1490,12,2,0,0,0,6,505,2015,1490,9,11,1442,48,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Milton Keynes,Bradwell,9720,3792,39.0,3775,38.8,3833,39.4,0,5,0,12,0,17,1422,1,0,1423,4,1073,1,1,0,0,0,3,345,1423,1073,9,10,1032,41,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Milton Keynes,Broughton,8644,2979,34.5,2970,34.4,3007,34.8,0,2,0,7,0,9,1259,5,0,1264,11,890,4,1,4,0,0,5,360,1264,890,4,9,862,28,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Milton Keynes,Campbell Park and Old Wroughton,9736,3926,40.3,3893,40.0,3950,40.6,0,3,0,30,0,33,1283,4,0,1287,10,981,8,2,2,0,0,2,292,1287,981,9,8,957,24,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Milton Keynes,Central Milton Keynes,10189,2893,28.4,2883,28.3,2920,28.7,10,0,0,0,0,10,1156,4,0,1160,9,800,16,0,4,0,0,8,332,1160,800,8,4,773,27,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Milton Keynes,Danesborough and Walton,9061,3463,38.2,3435,37.9,3483,38.4,0,3,0,25,0,28,1148,1,0,1149,1,813,4,1,0,0,0,0,331,1149,813,8,4,793,20,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Milton Keynes,Loughton and Shenley,10447,3870,37.0,3859,36.9,3911,37.4,0,1,0,10,0,11,1591,1,0,1592,5,1030,5,0,1,0,0,1,555,1592,1030,8,15,989,41,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Milton Keynes,Monkston,9157,2892,31.6,2881,31.5,2916,31.8,0,1,0,10,0,11,1149,0,0,1149,4,796,11,0,0,0,0,1,341,1149,796,9,5,772,24,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Milton Keynes,Newport Pagnell North and Hanslope,9710,3795,39.1,3789,39.0,3821,39.4,0,1,0,5,0,6,1216,4,0,1220,10,889,7,1,3,0,0,2,318,1220,889,7,4,863,26,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Milton Keynes,Newport Pagnell South,9264,3392,36.6,3383,36.5,3411,36.8,0,5,0,4,0,9,1300,2,0,1302,4,956,5,1,1,0,0,3,336,1302,956,5,5,937,19,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Milton Keynes,Olney,9615,3970,41.3,3944,41.0,3988,41.5,1,1,0,24,0,26,1360,0,0,1360,8,983,3,0,0,0,0,3,371,1360,983,3,3,965,18,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Milton Keynes,Shenley Brook End,9709,3297,34.0,3288,33.9,3317,34.2,0,4,0,5,0,9,1409,0,0,1409,0,990,6,0,0,0,0,2,411,1409,990,3,0,970,20,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Milton Keynes,Stantonbury,11359,3987,35.1,3976,35.0,4023,35.4,0,3,0,8,0,11,1777,2,0,1779,16,1225,8,2,0,0,0,0,544,1779,1225,13,11,1189,36,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Milton Keynes,Stony Stratford,7976,3380,42.4,3369,42.2,3420,42.9,2,2,0,7,0,11,1279,4,0,1283,8,973,2,1,3,0,0,2,302,1283,973,15,6,933,40,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Milton Keynes,Tattenhoe,7535,2145,28.5,2135,28.3,2178,28.9,0,2,0,3,5,10,1071,0,0,1071,1,687,3,0,0,0,0,2,379,1071,687,10,12,654,33,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Milton Keynes,Wolverton,10755,3544,33.0,3536,32.9,3566,33.2,0,1,0,7,0,8,1403,2,0,1405,9,990,16,1,1,0,0,3,394,1405,990,9,9,968,22,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Milton Keynes,Woughton and Fishermead,11052,3234,29.3,3225,29.2,3274,29.6,0,1,0,8,0,9,1428,2,0,1430,9,1006,7,0,2,0,0,7,408,1430,1006,10,11,966,40,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05001713,North East Lincolnshire,Croft Baker,8620,2870,33.3,2856,33.1,2933,34.0,0,3,0,11,0,14,1284,0,0,1284,0,954,5,0,0,0,0,5,320,1284,954,9,21,891,39,158,10,117,1,26,08/05/2014,10/05/2014,482,66,No,57,25,18,209,68,25,0,77,Halarose,AvantGuard,95,,,,,,
