Ward,Council,N,V,Lab1,Lab2,Lab3,SNP1,SNP2,SNP3,Con1,Con2,Con3,LD1,LD2,LD3
North Isles,Shetland,2278,1379,0,0,0,0,0,0,0,0,0,0,0,0
Shetland North,Shetland,2488,1433,0,0,0,0,0,0,0,0,0,0,0,0
Shetland West,Shetland,2033,1292,0,0,0,0,0,0,0,0,0,0,0,0
Shetland Central,Shetland,2284,1028,0,0,0,0,0,0,0,0,0,0,0,0
Shetland South,Shetland,2679,1508,0,0,0,0,0,0,0,0,0,0,0,0
Lerwick North,Shetland,2453,1212,0,0,0,65,0,0,0,0,0,0,0,0
Lerwick South,Shetland,3507,1774,0,0,0,119,0,0,0,0,0,0,0,0
