Ward,Council,N,V,Lab1,Lab2,Lab3,SNP1,SNP2,SNP3,Con1,Con2,Con3,LD1,LD2,LD3
"Barraigh, Bhatarsaigh Eirisgeigh Agus Uibhist A Deas",Comhairlie nan Eliean Siar,2510,1392,210,0,0,521,55,0,0,0,0,0,0,0
Beinn Na Foghla Agus Uibhist A Tuath,Comhairlie nan Eliean Siar,2329,1077,204,0,0,177,0,0,0,0,0,0,0,0
Na Hearadh Agus Ceann A Deas Nan Loch,Comhairlie nan Eliean Siar,1922,802,69,0,0,202,33,0,0,0,0,0,0,0
Sgir' Uige Agus Ceann A Tuath Nan Loch,Comhairlie nan Eliean Siar,2424,1434,0,0,0,292,172,0,0,0,0,0,0,0
Sgire An Rubha,Comhairlie nan Eliean Siar,1921,1170,0,0,0,141,0,0,0,0,0,0,0,0
Steomabhagh a Deas,Comhairlie nan Eliean Siar,2962,1500,0,0,0,145,57,0,0,0,0,0,0,0
Steomabhagh a Tuath,Comhairlie nan Eliean Siar,2986,1446,40,0,0,176,174,0,0,0,0,0,0,0
Loch a Tuath,Comhairlie nan Eliean Siar,2166,1182,0,0,0,290,0,0,0,0,0,0,0,0
An Taobh Siar agus Nis,Comhairlie nan Eliean Siar,2599,1464,0,0,0,298,0,0,0,0,0,0,0,0
