"","Total.Cases","Active.Cases","Deaths","Inactive.Cases","Recoveries","New.Cases","New.Active.Cases","New.Inactive.Cases","New.Deaths","New.Recoveries","Infection.Factor","Mortality.Rate","Activity.Rate"
"UK",206715,175756,30615,30959,344,5614,5075,539,539,0,0.031942010514577,0.988888529991279,0.850233413153375
"NL",41774,36236,5288,5538,250,455,371,84,84,0,0.0125565735732421,0.954857349223546,0.867429501603868
"SE",24623,16612,3040,8011,4971,705,-291,996,99,897,0.0424392005778955,0.379478217451005,0.674653778987126
"FR",174791,93777,25987,81014,55027,600,-633,1233,178,1055,0.00639815733068876,0.320771718468413,0.536509316841256
"US",1292623,998445,76928,294178,217250,29531,23133,6398,2129,4269,0.0295769922229066,0.261501539884016,0.772417789254872
"IT",215858,89624,29958,126234,96276,1401,-1904,3305,274,3031,0.0156319735785058,0.237321165454632,0.415198880745675
"ES",256855,66866,26070,189989,163919,3173,-1600,4773,213,4560,0.0474531151855951,0.137218470543031,0.260325864787526
"CN",82885,295,4633,82590,77957,2,-44,46,0,46,0.00677966101694915,0.0560963797069863,0.00355914821740966
"DE",169430,22138,7392,147292,139900,1268,-1053,2321,117,2204,0.0572770801337067,0.0501860250386986,0.130661630171752
"KR",10810,1135,256,9675,9419,4,-83,87,1,86,0.00352422907488987,0.0264599483204134,0.104995374653099
