"","Total.Cases","Active.Cases","Deaths","Inactive.Cases","Recoveries","New.Cases","New.Active.Cases","New.Inactive.Cases","New.Deaths","New.Recoveries","Infection.Factor","Mortality.Rate","Activity.Rate"
"UK",194990,165219,29427,29771,344,4406,3713,693,693,0,0.02666763507829,0.988445131167915,0.847320375403867
"NL",41087,35669,5168,5418,250,317,231,86,86,0,0.00888726905716448,0.953857511997047,0.868133472874632
"SE",23216,16288,2854,6928,4074,455,410,45,85,-40,0.0279346758349705,0.411951501154734,0.70158511371468
"FR",170551,92284,25531,78267,52736,1089,-606,1695,330,1365,0.0118005288023926,0.326203891806253,0.541093280015948
"US",1237633,964736,72271,272897,200626,24798,9849,14949,2350,12599,0.0257044414223166,0.26482885484267,0.779500869805508
"IT",213013,98467,29315,114546,85231,1075,-1513,2588,236,2352,0.0109173631775112,0.25592338449182,0.462258172036448
"ES",250561,70230,25613,180331,154718,2260,-1010,3270,185,3085,0.0321799800654991,0.142033261058831,0.280291026935557
"CN",82881,395,4633,82486,77853,1,-86,87,0,87,0.00253164556962025,0.056167107145455,0.00476586913767932
"DE",167007,24914,6993,142093,135100,855,-1545,2400,0,2400,0.0343180541061251,0.0492142470072417,0.14917937571479
"KR",10804,1267,254,9537,9283,3,-65,68,2,66,0.00236779794790845,0.0266331131383034,0.117271380970011
