"","Total.Cases","Active.Cases","Deaths","Inactive.Cases","Recoveries","New.Cases","New.Active.Cases","New.Inactive.Cases","New.Deaths","New.Recoveries","Infection.Factor","Mortality.Rate","Activity.Rate"
"UK",152940,131764,20732,21176,444,4563,4050,513,413,100,0.0346300962326584,0.979032867397053,0.861540473388257
"NL",37845,33120,4475,4725,250,655,589,66,66,0,0.0197765700483092,0.947089947089947,0.875148632580262
"SE",18640,15441,2194,3199,1005,463,461,2,2,0,0.0299851045916715,0.685839324788997,0.82837982832618
"FR",162100,94341,22856,67759,44903,612,61,551,242,309,0.00648710528826279,0.337313124455792,0.581992597162245
"US",987160,812966,55413,174194,118781,26509,24733,1776,1157,619,0.0326077597341094,0.318110841934854,0.823540256898578
"IT",197675,106103,26644,91572,64928,2324,256,2068,260,1808,0.021903244960086,0.290962302887345,0.536754774250664
"ES",226629,85712,23190,140917,117727,2870,-19437,22307,288,22019,0.0334842262460332,0.164564956676625,0.378204025080638
"CN",82827,801,4632,82026,77394,11,-37,48,0,48,0.0137328339575531,0.0564698997878721,0.00967075953493426
"DE",157770,39794,5976,117976,112000,1257,-1042,2299,99,2200,0.0315876765341509,0.0506543703804164,0.252227926728782
"KR",10728,1769,242,8959,8717,10,-74,84,2,82,0.00565291124929339,0.027011943297243,0.164895600298285
