"","Total.Cases","Active.Cases","Deaths","Inactive.Cases","Recoveries","New.Cases","New.Active.Cases","New.Inactive.Cases","New.Deaths","New.Recoveries","Infection.Factor","Mortality.Rate","Activity.Rate"
"US",1131030,903714,65753,227316,161563,36007,24871,11136,1897,9239,0.039843357522402,0.289258125252952,0.799018593671255
"UK",177454,149600,27510,27854,344,6201,5462,739,739,0,0.0414505347593583,0.987649888705392,0.843035378182515
"IT",207428,100943,28236,106485,78249,1965,-608,2573,269,2304,0.019466431550479,0.265164107620792,0.486641147771757
"FR",167346,92540,24594,74806,50212,168,-786,954,218,736,0.00181543116490166,0.328770419485068,0.552986028946016
"ES",242988,75714,24824,167274,142450,3349,-1398,4747,281,4466,0.0442322423858203,0.148403218671162,0.311595634352314
"NL",39791,34648,4893,5143,250,475,377,98,98,0,0.0137093050103902,0.951390239160023,0.870749667010128
"DE",164077,30441,6736,133636,126900,1068,-2445,3513,113,3400,0.0350842613580369,0.0504055793349098,0.185528745649908
"SE",21520,17862,2653,3658,1005,428,361,67,67,0,0.0239614824767663,0.725259704756698,0.830018587360595
"KR",10774,1454,248,9320,9072,9,-5,14,1,13,0.0061898211829436,0.0266094420600858,0.13495452014108
"CN",82874,599,4633,82275,77642,12,-20,32,0,32,0.0200333889816361,0.0563111516256457,0.00722783985327123
