"","Total.Cases","Active.Cases","Deaths","Inactive.Cases","Recoveries","New.Cases","New.Active.Cases","New.Inactive.Cases","New.Deaths","New.Recoveries","Infection.Factor","Mortality.Rate","Activity.Rate"
"US",1347309,1029194,80037,318115,238078,25524,9627,15897,1422,14475,0.0247999891176979,0.251597692658315,0.763888610556302
"UK",215260,183329,31587,31931,344,3896,3550,346,346,0,0.0212514113969967,0.989226770223294,0.851663105082226
"FR",176658,94310,26310,82348,56038,579,243,336,80,256,0.00613932774891316,0.319497741293049,0.533856377860046
"IT",218268,84842,30395,133426,103031,1083,-3119,4202,194,4008,0.0127649041748191,0.227804176097612,0.388705627943629
"ES",262783,63148,26478,199635,173157,2606,-2262,4868,179,4689,0.0412681320073478,0.132632053497633,0.24030473812994
"NL",42382,36710,5422,5672,250,289,226,63,63,0,0.00787251430128031,0.955923836389281,0.866169600302015
"DE",171324,20475,7549,150849,143300,736,-903,1639,39,1600,0.0359462759462759,0.0500434209043481,0.11951040134482
"SE",25921,17730,3220,8191,4971,656,611,45,45,0,0.0369994359842076,0.393114393846905,0.684001388835307
"KR",10840,1016,256,9824,9568,18,-66,84,0,84,0.0177165354330709,0.0260586319218241,0.0937269372693727
"CN",82887,208,4633,82679,78046,1,-42,43,0,43,0.00480769230769231,0.0560359946298335,0.00250944056365896
