"","Total.Cases","Active.Cases","Deaths","Inactive.Cases","Recoveries","New.Cases","New.Active.Cases","New.Inactive.Cases","New.Deaths","New.Recoveries","Infection.Factor","Mortality.Rate","Activity.Rate"
"US",1385834,1041814,81795,344020,262225,18196,11299,6897,1008,5889,0.0174656896528555,0.237762339398872,0.751759590253955
"UK",223060,190651,32065,32409,344,3877,3667,210,210,0,0.020335587015017,0.989385664475917,0.854707253653725
"FR",177423,94056,26643,83367,56724,453,-317,770,263,507,0.00481627966317938,0.319586886897693,0.530122926565327
"IT",219814,82488,30739,137326,106587,744,-836,1580,179,1401,0.00901949374454466,0.223839622504114,0.37526272211961
"ES",268143,63553,26744,204590,177846,3480,1950,1530,123,1407,0.0547574465406826,0.130719976538443,0.237011594559619
"NL",42788,37082,5456,5706,250,161,145,16,16,0,0.00434172914082304,0.956186470382054,0.866644853697298
"DE",172576,19298,7661,153278,145617,697,-612,1309,92,1217,0.0361177324075034,0.0499810801289161,0.11182319673651
"SE",26670,18443,3256,8227,4971,348,317,31,31,0,0.018868947568183,0.395770025525708,0.691526059242595
"KR",10909,1021,256,9888,9632,35,13,22,0,22,0.0342801175318315,0.0258899676375405,0.0935924466037217
"CN",82918,141,4633,82777,78144,17,-7,24,0,24,0.120567375886525,0.0559696534061394,0.0017004751682385
