"","Total.Cases","Active.Cases","Deaths","Inactive.Cases","Recoveries","New.Cases","New.Active.Cases","New.Inactive.Cases","New.Deaths","New.Recoveries","Infection.Factor","Mortality.Rate","Activity.Rate"
"UK",211364,179779,31241,31585,344,4649,4023,626,626,0,0.0258595275310242,0.989108754155454,0.850565848488863
"NL",42093,36484,5359,5609,250,319,248,71,71,0,0.00874355882030479,0.955428775182742,0.866747440191956
"SE",25265,17119,3175,8146,4971,642,507,135,135,0,0.0375021905485134,0.389761846304935,0.677577676627746
"FR",176079,94067,26230,82012,55782,1288,290,998,243,755,0.0136923682056407,0.319831244208165,0.534231793683517
"US",1321785,1019567,78615,302218,223603,29162,21122,8040,1687,6353,0.0286023380513492,0.26012679588906,0.771356158528051
"IT",217185,87961,30201,129224,99023,1327,-1663,2990,243,2747,0.0150862313980059,0.233710456261995,0.405004949697263
"ES",260177,65410,26299,194767,168468,3322,-1456,4778,229,4549,0.0507873413851093,0.135028007824734,0.251405773761708
"CN",82886,250,4633,82636,78003,1,-45,46,0,46,0.004,0.0560651532019943,0.00301619091282002
"DE",170588,21378,7510,149210,141700,1158,-760,1918,118,1800,0.0541678360931799,0.0503317472019302,0.125319483199287
"KR",10822,1082,256,9740,9484,12,-53,65,0,65,0.011090573012939,0.0262833675564682,0.0999815191277028
