"","Total.Cases","Active.Cases","Deaths","Inactive.Cases","Recoveries","New.Cases","New.Active.Cases","New.Inactive.Cases","New.Deaths","New.Recoveries","Infection.Factor","Mortality.Rate","Activity.Rate"
"UK",190584,161506,28734,29078,344,3985,3697,288,288,0,0.0246740059192847,0.988169750326708,0.847426856399278
"NL",40770,35438,5082,5332,250,199,173,26,26,0,0.0056154410519781,0.95311327831958,0.869217561932794
"SE",22761,15878,2769,6883,4114,444,-2755,3199,90,3109,0.0279632195490616,0.402295510678483,0.697596766398664
"FR",169462,92890,25201,76572,51371,769,-124,893,306,587,0.00827860910754656,0.329115081230737,0.548146487118056
"US",1212835,954887,69921,257948,188027,24713,13626,11087,1323,9764,0.0258805492168183,0.27106626141703,0.787318143028524
"IT",211938,99980,29079,111958,82879,1221,-199,1420,195,1225,0.0122124424884977,0.259731327819361,0.471741735790656
"ES",248301,71240,25428,177061,151633,1179,-2060,3239,164,3075,0.0165496911847277,0.143611523712167,0.286909839267663
"CN",82880,481,4633,82399,77766,3,-50,53,0,53,0.00623700623700624,0.0562264105146907,0.00580357142857143
"DE",166152,26459,6993,139693,132700,488,-1739,2227,127,2100,0.018443629766809,0.0500597739328384,0.159245750878713
"KR",10801,1332,252,9469,9217,8,-28,36,2,34,0.00600600600600601,0.0266131587284824,0.123321914637534
