"","Total.Cases","Active.Cases","Deaths","Inactive.Cases","Recoveries","New.Cases","New.Active.Cases","New.Inactive.Cases","New.Deaths","New.Recoveries","Infection.Factor","Mortality.Rate","Activity.Rate"
"UK",171253,144138,27967,27115,-852,6032,5358,674,1870,-1196,0.0418487838044097,1.03142172229393,0.841667007293303
"NL",39316,34271,4795,5045,250,514,430,84,84,0,0.0149981033526889,0.950445986124876,0.871680740665378
"SE",21092,17501,2586,3591,1005,790,666,124,124,0,0.0451402776984172,0.720133667502089,0.829745875213351
"FR",167178,93326,24376,73852,49476,758,-779,1537,289,1248,0.0081220667338148,0.330065536478362,0.558243309526373
"US",1095023,878843,63856,216180,152324,30829,23716,7113,2200,4913,0.0350790755572952,0.295383476732353,0.802579489197944
"IT",205463,101551,27967,103912,75945,1872,-3106,4978,285,4693,0.0184340873058857,0.269141196396951,0.49425443997216
"ES",239639,77112,24543,162527,137984,2740,-2583,5323,268,5055,0.035532731611163,0.151008755468322,0.321784016791925
"CN",82862,619,4633,82243,77610,4,-28,32,0,32,0.00646203554119548,0.0563330617803339,0.00747025174386329
"DE",163009,32886,6623,130123,123500,1470,-1786,3256,156,3100,0.0446998722860792,0.0508979965109934,0.201743462017435
"KR",10765,1459,247,9306,9059,4,-134,138,1,137,0.00274160383824537,0.026542015903718,0.135531816070599
