Ward,Council,N,V,Lab1,Lab2,Lab3,SNP1,SNP2,SNP3,Con1,Con2,Con3,LD1,LD2,LD3
Inverclyde East,Inverclyde,12770,5605,1607,0,0,1426,0,0,1447,0,0,313,0,0
Inverclyde East Central,Inverclyde,10222,3985,1689,612,0,890,0,0,96,0,0,106,0,0
Inverclyde North,Inverclyde,10222,5330,1804,863,0,854,449,0,508,0,0,628,0,0
Inverclyde South,Inverclyde,8390,3367,1392,589,0,1004,0,0,114,0,0,111,0,0
Inverclyde West,Inverclyde,8642,4410,991,0,0,541,301,0,253,0,0,146,0,0
Inverclyde South West,Inverclyde,8666,3392,768,415,0,766,405,0,217,0,0,759,0,0
