Ward,Council,N,V,Lab1,Lab2,SNP1,SNP2,SNP3,Con1,Con2,Con3,LD1,LD2,LD3
Kirriremuir and Dean,Angus,8264,3438,0,0,1301,333,0,1375,0,0,429,0,0
Brechin and Edzell,Angus,8386,3238,0,0,1145,459,0,486,0,0,127,0,0
Forfar and District,Angus,11218,4523,0,0,986,928,0,487,0,0,137,0,0
Monifieth and Sidlaw,Angus,12692,5441,960,0,1160,1126,789,1170,0,0,235,0,0
Carnoustie and District,Angus,9955,4430,274,0,1029,582,0,271,0,0,41,0,0
Arbroath West and Letham,Angus,11230,4382,423,0,1033,653,0,960,0,0,191,0,0
Arbroath East and Lunan,Angus,11032,3707,472,0,858,766,0,547,0,0,109,0,0
Montrose and District,Angus,11434,3940,300,0,815,0,0,566,0,0,642,0,0
