Ward,Council,N,V,Lab1,Lab2,Lab3,SNP1,SNP2,SNP3,Con1,Con2,Con3,LD1,LD2,LD3
Linlithgow,West Lothian,11944,6365,1292,0,0,1827,829,0,2112,0,0,0,0,0
"Broxburn, Uphall and Winchburgh",West Lothian,13558,5499,1161,1088,0,1551,617,0,316,0,0,0,0,0
Livingston North,West Lothian,16271,6131,1346,691,0,1551,1112,430,479,0,0,132,0,0
Livingston South,West Lothian,16441,6864,2395,893,0,1671,818,401,374,0,0,0,0,0
East Livingston and East Calder,West Lothian,14346,5955,1914,682,0,1147,1006,454,372,0,0,0,0,0
Fauldhouse and the Briech Valley,West Lothian,11239,5144,1713,902,0,904,896,0,197,0,0,0,0,0
Whitburn and Blackburn,West Lothian,11239,5817,1896,696,0,1610,562,0,271,0,0,68,0,0
Bathgate,West Lothian,13933,5817,1314,1138,0,1282,1087,299,345,0,0,0,0,0
Armadale and Blackridge,West Lothian,11247,4483,788,0,0,861,168,0,125,0,0,0,0,0
