Ward,Council,N,V,Lab1,Lab2,Lab3,SNP1,SNP2,SNP3,Turnout %,Con1,Con2,Con3,LD1,LD2,LD3
"Neilston, Uplawmoor and Newton Mearns North",East Renfrewshire,0,6067,1099,1038,0,1052,249,0,0.4416,1417,640,0,152,0,0
Barrhead,East Renfrewshire,0,6048,1417,629,0,716,716,0,0.4759,344,0,0,0,0,0
Giffnock and Thornliebank,East Renfrewshire,0,5446,1935,0,0,1083,0,0,0.4966,1163,0,0,620,0,0
"Netherlee, Stamperland and Williamwood",East Renfrewshire,0,5130,1528,0,0,933,0,0,0.5054,1052,0,0,124,0,0
Newton Mearns South,East Renfrewshire,0,4790,819,0,0,607,0,0,0.4953,1448,1101,490,82,0,0
"Busby, Clarkston and Eaglesham",East Renfrewshire,0,5393,1763,0,0,1165,0,0,0.5038,1223,879,0,150,0,0
