Ward,Council,N,V,Lab1,Lab2,Lab3,SNP1,SNP2,SNP3,Con1,Con2,Con3,LD1,LD2,LD3
Trossachs and Teith,Stirling,8464,4243,672,0,0,1008,903,0,1285,0,0,153,0,0
Forth and Endrick,Stirling,8464,4652,751,0,0,912,860,0,1097,309,0,204,0,0
Dunblane and Bridge of Allan,Stirling,12193,5471,1165,0,0,1494,294,0,1262,0,0,346,0,0
Castle,Stirling,7843,3007,568,529,0,828,142,0,262,0,0,124,0,0
Stirling West,Stirling,8611,4054,1257,0,0,1484,0,0,1015,0,0,198,0,0
Stirling East,Stirling,8611,3866,862,858,0,1278,0,0,302,0,0,403,0,0
Bannockburn,Stirling,8611,3297,1133,385,0,1236,187,0,157,0,0,34,0,0
