Ward,Council,N,V,Lab1,Lab2,Lab3,SNP1,SNP2,SNP3,Con1,Con2,Con3,LD1,LD2,LD3
Troon,South Ayrshire,12146,5864,1233,0,0,1026,551,0,1289,1035,0,0,0,0
Prestwick,South Ayrshire,12238,5621,1458,0,0,1296,448,0,1296,892,0,128,0,0
Ayr North,South Ayrshire,12643,4358,1481,519,0,1361,305,0,692,0,0,0,0,0
Ayr East,South Ayrshire,11669,5119,1199,0,0,1238,371,0,1135,554,0,0,0,0
Ayr West,South Ayrshire,12401,5889,901,0,0,836,638,0,1992,846,0,127,0,0
Kyle,South Ayrshire,8918,3685,1207,0,0,1057,0,0,865,0,0,0,0,0
"Maybole, North Carrick & Coylton",South Ayrshire,8918,4305,986,0,0,810,493,0,916,0,0,0,0,0
Girvan and South Carrick,South Ayrshire,7920,3396,579,0,0,670,0,0,538,0,0,0,0,0
