Ward,Council,N,V,Lab1,Lab2,SNP1,SNP2,SNP3,Con1,Con2,Con3,LD1,LD2,LD3
Clackmannanshire West,Clackmannanshire,7807,3204,1037,473,693,403,231,231,0,0,0,0,0
Clackmannanshire North,Clackmannanshire,8180,3623,663,351,728,544,504,157,0,0,136,0,0
Clackmannanshire Central,Clackmannanshire,6856,2451,916,288,661,421,0,77,0,0,0,0,0
Clackmannanshire South,Clackmannanshire,8736,3241,794,497,1042,696,0,212,0,0,0,0,0
Clackmannanshire East,Clackmannanshire,6571,2602,745,0,781,259,0,817,0,0,0,0,0
