Ward,Council,N,V,Lab1,Lab2,Lab3,SNP1,SNP2,SNP3,Con1,Con2,Con3,LD1,LD2,LD3
Speyside Glenlivet,Moray,7059,2794,0,0,0,771,759,0,376,0,0,0,0,0
Keith and Cullen,Moray,7810,3107,0,0,0,1319,300,0,312,0,0,0,0,0
Buckie,Moray,7336,2520,0,0,0,967,169,0,179,0,0,0,0,0
Fochabers Lhanbryde,Moray,7717,3337,512,0,0,728,612,0,1318,0,0,167,0,0
Heldon and Laich,Moray,10287,3985,0,0,0,797,678,0,688,0,0,0,0,0
Elgin City North,Moray,8386,2566,766,0,0,596,515,0,448,0,0,0,0,0
Elgin City South,Moray,8356,2856,1073,0,0,675,394,0,714,0,0,0,0,0
Forres,Moray,10999,4501,0,0,0,547,429,0,466,0,0,0,0,0
